V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274
6.21259772676233,0,0,0,0,-0.527762576537901,0,0,0,0.100344779169076,0.172970526786076,-0.189984810499798,-0.0408758418707658,0,0,0,0,0.287699783636168,0,0,0,0,0,0.0566766953874926,0,0,-0.0498240506688,0,0,0,0,-0.111458979370742,0.118207341741929,0,0,-0.332158611265667,0,0,0,0,0,0,0,0,-1.16127700928793,0,0,0,0,0,0,0,0.0369166220439794,0,-0.030012427773158,0,0,0.0683047307106485,-0.472407810025494,0,0,0,0,0.0695584051998096,0,0,0,0,0.437848673471968,0,0,0.0430390829490187,0,-0.0984127321921037,0.140774488917952,0,0.188804880498777,0,0.106266715911021,0.107904485429182,0,0,0,-0.136089457332746,0.0866144922457446,0.0194731202693056,0.118298310959048,0,-0.823734710938518,0,0,0,0,0,0,0,0,0,-0.0654161998799487,0,0,0,0,0,0,-0.0235556864473192,0,0,0,0,0,0,0.0393492760496149,0,0.8082380742561,0,0,-0.433876394553551,0,0,0,0.0595562910767735,0.337504435080061,0,0.0701261548874258,0,-0.0937391228538717,0,0.281960629884058,-0.312853632931146,0,-0.0329683976799497,0,0,0.0296646544294808,-0.410856348780852,0,0,0.260417817993051,0,0,-0.0596019500031474,0,0,0,0.178571118431875,0,0,0.967395727494709,0,0.000562091410379798,0.219059689563619,0,0.022630777591811,0,0,0,0,0,0,0,0,-0.136437691849447,-0.0647700462979224,0.1556809587128,-0.141132895508244,-1.33688073274845,-0.0258466608417103,-0.136671643613015,0,0,0.466249629284399,0,0.255888172089303,0,0,0,0,0,0,-0.23667753470807,0,0.0512974321995057,0,0,0,0,0.160025621733985,0,0.185800526322606,-0.0254635192176151,0,-0.00636912269650957,0,0,0,0,0,0.093313295097283,0,0,0,0,0,0,0,0,0,0,0,0.0948198170332908,0.265253052074231,0,0,0.0131961368653738,0,0,0,0,0,0.191240759263607,0,0,-0.217896084356902,0,-0.28799678698734,-0.0444618647643705,0,0,0,0,-0.0139186384314057,0,0,0,0,0,0,0,0,0,0,0,0,-0.00326716545326957,-0.00780877829521349,0,0,0,0,0.0487147483119325,0,0,0,0,-0.0495577424573111,0,0,0.360670099276943,0,0,0,0,0.0153341472014552,0,0,0,0,0,0,0.155738300820447,-0.168230451782851,-0.339296293910883,0
0,6.59305304908958,0,0.443607652006331,0,0.089597319232578,0.118052895740581,0,0,-0.0685375886759253,0.0922932912841232,0,0,0,0,0,0,0,-0.477462371083921,0.178937068591057,0,0.385624473545305,0,0,-0.173433847319512,-0.36957706432061,0,0,0,0,0,0,0,0,0,0,-0.0110278524835747,0.00974750925358226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.801196546555507,-0.358291386215587,0,-0.388665229585667,-0.0600103688419623,0,0.00979364926416958,0,0,0,0,0.0841852238401911,0,0.170038442478701,0,0,0,0,-0.214264726573696,0,0,-0.0557550270412308,0,0,0,0,0,0,0,-0.440570904458447,0,0,-0.260591473817686,0,0.0422084297979628,0,0,0,0,0,0,0.0380838620599645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323155457752136,0,0,0,0.0838146041879126,0,0,0,0,0,0,0.0892564301096497,0,0,0,0,-1.0730098907963,0,0.320387454462372,0,0,0,0,0,0,0,0,0,0,0.00137287161488227,0,-0.710163072586569,0,0,0,0,0,0,0,0,0.118547316888787,-0.546347245890332,-0.0318462659560943,0,0,0,-0.156741450319963,0.168823419514204,0,0,0,0,0,-0.0159492994250061,0,0,0,0,0,0,-0.412777999714951,0,0.261211736931138,0,0,0,0,0,0,-0.0526828674104071,0,0,-0.0302359672664994,0,0,0.224404829959274,0,0,0,-0.067935676204079,0.161281306478681,0,0,-0.328640302365557,0.00105974021075554,0,0,0,0.0412051819841559,0,-0.0276537830127506,0,0,0.172703010173369,0,0,0,0,0,0,0.271250002158988,0,0,0,0,0,0,0,0.273547099597941,0,0,-0.0511955009918454,0,0,0,-0.00931554663691476,0,0,0,0,0.178090746622399,0,0,0,0,0,0,0,0,0,0.0218614843766045,0,0.0125344459533811,0,0,0,0,0.648270686841188,0.0932577366724516,0,0,0,0,0,0,0,0,0,0,0.438001191717429,0,0,0,0
0,0,2.82705986692265,0.162936370452195,0.0337631214574126,0,0,0,0.00482303276486517,0.0884993416630957,0.00439231233600612,0,0,0.0709186078689334,0,0,0,0,0,0,0,0,0.0149145876718702,0,0,0,0,0,0,0,0,0.0941172306419101,0,0,0.0285679728717248,0,0.0767726313874832,0,0,0,0,0,0,0,0,0,0.0467537418148471,0,0,0,0,0,-0.0245675717754019,0,0,-0.0819688220766809,0,0,0,0,-0.0229195259807248,0,0,0,0,0,0.278610047843123,0,0,-0.554322527690809,0,-0.0343892447495141,0,0,0,0,0,0,0.04271311879017,0,0,0.0660425160782695,0,-0.00704632161336759,0,0.0751436150382,0.0126711988482841,0.00347478105692867,0,0.0672506251480085,0,0,0,0,0,0,0,-0.0575879549205409,-0.167033092554988,0,-0.0410713513532102,0.134583210864288,-0.00967206956116467,0,0.00800228146044235,0.0516740269640193,0,0,0,0,0,0,-0.0242615031505206,0,-0.0141678239715683,0,0,-0.126818515486378,-0.0657029522405312,0.0545198456616969,0.046294156499095,0.191198869153222,0,0,0,0,0,0,0,-0.156951970687062,0,0,0.0165033857474609,0,0,0,0,0.0220341650758802,0,0,0,0,0,0,0,0,0,0,0,0,0.0172385523803259,-0.00152484909597659,-0.00866433249170116,0,0,0,0,0,0,0,0,0,-0.0190848789981815,0,0,0,0.100574264059919,0,0.136574270322228,0,0,0,-0.019999355247404,-0.257754396450181,0,0,0,0,0,0,0,0.222290239142956,0,-0.00413172252526933,0,0,0,0.0290888693262368,-0.104292845622523,0,0,0,0.161733034028654,0,-0.0399241198567416,0,0,0,0,0,0,0.104742775804855,0,-0.136770364777115,0.0274761773292572,0,-0.0137359549408112,0,-0.0207195435914769,0,-0.198578224017773,-0.0663416581347997,0,0,0.0342292541264702,0,-0.0652514662683764,0,0,0.0394685658590519,-0.0346714243034129,0,0,0.108573008930668,0,0.0963789346247824,0,0,0,-0.0133283145750405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.098716104910061,0,0,0.0125073015064151,0,0,0,0.0783773535155248,0,-0.0325132806389355,0,0,0,-0.0126599948030422,0,0.0191473186541347,0,0,0,0,0,0,0,0.0995383411741062,0,0,-0.0234371858180984
0,0.443567692356333,0.162948828897863,3.21268527837759,0,0.329081570981894,-0.214144663290282,0,-0.011216415488603,0.122027691611899,0,0,0.0466572814117272,0,0,0,0,0.0757738751557966,0,0,0,0,0,0,0.135306910936676,0.0543591330736668,0,0,0,0,-0.041377689097248,-0.120598747224269,-0.00315126747991741,0,0,0.499673827297317,-0.143501551062882,-0.238915439242559,0,0,0,0,0,0,-0.0953257299735075,0,0,0,0,0,0,0,0.130725078421496,0,0,-0.074460098590735,0,0.0800453441624703,-0.373173269714344,0,0,-0.417078744767433,0,0,0.0755612302180113,0.0890299107056144,0,0.00724053291244894,0.277359385186801,0,0,0.0379413487499918,0,0,0.00293481852508666,0,0,0,0,0,0,0,0,0.374867868834738,0,0.037400429123355,0,0.0691751359428426,0,0.120017804189958,0.139535501059461,0,0,-0.112758362226851,0,-0.000989960998788053,0,0.0658985806886685,-0.17267705295728,0,0.0798598060442478,0,0.11470786766143,0,0,0,0,0,0,0,0,0.0387399393953817,-0.148212572393942,-0.010045213995639,0,-0.0407005256977103,0.0847286103642359,-0.205446709887154,0,0.0288034959804385,0,0,0,0,0,0,0,0,0,-0.18457476878524,0,0,-0.0596458005825506,0,0,0,0,0,0.0872089609860339,0.000565963899298147,0,0,0,0.0275627105952477,0,0,-0.0910723614292503,0,0.289570179151834,0,0,0,-0.0249377499825119,0,0,0,0.0344389540211794,0,0,0,0,0,0,-0.19564285607238,0.140425041242264,-0.136109010698857,0,-0.187978860568786,-0.730784490305137,0,0,0,0.127672172908162,0,0,0,0,0,0.356391781662003,0,0,-0.307812322034618,0,0.118441377682405,0,0.0671407301678189,0,-0.00226308263751086,-0.0535869857627095,-0.324095652962302,0.00493509584314188,0,0.0921725327069766,0,0,-0.433829885855463,0,0.0101634483289728,0,0.0629126207356809,-0.0210937472615093,0,0,0,-0.0975130840790377,0,0.0210325529141651,0,0.00146388987446913,0,0,0,0.0247184069554768,0.0756784065075248,0.0177790535863549,0,0,0,0,-0.0221162734281516,-0.286756314242395,0,0,-0.0897147290540674,0.088528709101373,-0.00735297235259353,0.069077848313141,0.270757122601651,0,0,0.111721805464697,0.0376379208700974,0.0146205853780476,0,0,-0.0212933461001558,0,0,0,0,0,0,0,0.0108601305343273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219220695790439,0,0,0.00943152516426038,-0.00196027887694596,0,0,0.0645716051182633,0,0,0
0,0,0.0337729515711195,0,1.8059758349881,0,0,0,0.0086405242740863,0,0.00666864643467414,0,0,0,0,-0.0785210582548559,-0.15151995236701,0,0.0219147168777255,0,0,0,0.0426265260865502,0,0,-0.0077032855023983,0,0.0837684162004756,0,0,0,-0.0425631472022857,0.0482204224657767,0,0,0,-0.010482523360676,0,0,0.118224506713483,0,0,0.123393770981722,0,-0.00641868630658459,0,-0.105762581030883,0,0,-0.0641950349104857,0,0,0,0,0,0.118931032689698,0,0,0,0,0.173747471278908,0.0206573946112451,0,0,0.0309459931634538,0,0,0.0335895374888844,0,0,0.0108809243672359,0,0.0165100955357262,0,0,0,0,0,-0.241774637066284,0,0,0.0273515716242505,0,0,0.137686682423699,0,0,0,0,-0.0982314535580865,-0.112492644654871,0,0,0,0,0,0,-0.0138258997872858,0,0,0.0323041873162269,0,0.0969517603048918,0.216951041249059,-0.0358423131216252,-0.0869256137842371,0.0493883413918318,0,0.0615979864951946,-0.120633194599369,0,-0.0498737830129032,0,0.0668658339729208,0,0,0.0280925845524577,0,0,0,-0.169179514291471,0,0,0.0447963341999466,-0.00396328083869324,-0.0809091143846838,0.125050938128861,-0.0847987484647444,0,0,0,-0.0630491562021757,-0.0528343866110838,0,0,0,0,0.0534926978921732,-0.210715960267327,-0.0158673765322748,0.0926447032657891,0,0,0,0,0,0,0,0,0.0824802296031661,-0.0577595969631545,0.0601546973628966,0,0.0343835870778376,-0.0535342012828764,0,0.0756358921717159,0,0,0.0257051862451485,0,0.0511259180650675,0.0441614956886957,-0.0743270185726528,-0.331771388036719,0.048647786592062,0,0,0.0204187171597526,0.0467366147323505,0,0,0.05232664693189,-0.0486027914886235,0,0,0.126404577395988,0,0,0,0,0,0,0,0,0,0,0.05719093729673,0,0,0.0293880014918428,0,0,0,0.108998054271723,0,0,0.00132559671572807,-0.0391186338218406,0.0377188164291494,0,0,0.0445478141062361,0.0212247973369225,0.00659262673476754,0,0.0932492066231851,0,0,-0.136588300025352,-0.0366002449371877,0,0,-0.163627599341506,0.0125342628216834,0,0,0,0,0,0,-0.0222792086986251,0,0,0,0,0.0494892677670738,-0.161280029151266,0,0,0,0.0973742543919107,0,0,0,0,0,0,-0.0122066229601052,0,-0.0576914718299366,0,0,-0.157606426536748,0,0,0,-0.0442713647495115,0,0,0,0,0,0,0,0,0,-0.0733641673858915,-0.00794523116158213,0,-0.0758535709363269,0,-0.0233712772678703,0.0212363802258954,0.022320473088642,-0.0263241675943376,0.0776400430925993,-0.0287220564796447,0,0,-0.0594842787153379,0.00712943320278383,0.00676872359130378,0.0133960916678298
-0.528189403001086,0.0897365003175846,0,0.329093278394593,0,5.47567912482838,0,0,-0.0338208367294475,0,0,-0.023594978016624,0,-0.0807018086864055,0,0,0,0,0,0,0,-0.363920080512328,0.299459360454356,0.0125715654541178,0,0,-0.124674566154224,0,0,0,-0.260081094306397,0,0,0,0,0,0.197233780038302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228758316793679,0,-0.020924539511607,-0.0686565561258048,0,-0.0887220598653137,0.228950453800606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00860324127621428,0,0,0,0,0,0,0,0,0,-0.208064213407451,0,0,0,-0.357743245127578,0,-0.265077167078173,0,0,0,0.0603821469411192,0.17876136409689,0,0,0,0,0,0,-0.438389701185815,0,0,0,0,0,0,0,0,0,0,0,0,0.809364300253929,0,0,0.307138003203845,0,0,0.0704962174377146,0.0674219760582131,0,0,-0.0944243108029353,0,0,0,0.0943399630308807,0.671974669176536,0,0,0.130745113250706,0,0,0,0.15605864421134,0.204270033917193,0,0,0,-0.127867032345045,0,0,0,0,0,0,0.483783719396164,0,0,0,0,0,0,0,0,0,0,0,-0.432727710244768,0,0,0,0,0,0,-0.738016542873786,-0.353245908383784,0,0.0568178011421629,0,0,0.1397839218956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197768861143968,0.176676305533947,0,-0.253111563701702,-0.258835433021649,-0.0032517070206155,0,0,0,0,0,-0.100580982047188,0,0,0,-0.00667940277761355,0.303006136986035,0.165427061959528,0,0,0,0,0,0,0.15144141110616,-0.416997852885287,0,-0.027493434387335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257679810579725,0,0,0.097309217276826,0.203660731888398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318500047275465,0,0,0,0,0,0,0,0,0.00863634299437426,0.0660604452601276,0,0
0,0.118042973187906,0,-0.214130855981936,0,0,1.51590385413184,0,0.0468110693195895,0,0.0850036211799116,0.0642802173316266,0.0945560323311622,0,0,-0.0279357989301104,0.0669536517129817,0.13890546963183,0,0,0,0,0,0,0,0.0560608231809346,0,0,0,0,-0.172069077395208,0,-0.0172506180421969,0,0.150275804795927,0,0.0809901065862188,0.0755683940948813,0,0.123203472451494,0,0,0,0,0,0,-0.0341547971944236,0,-0.0367286111785541,0,0.0933116726299618,0,0.0531141290322054,0,0,-0.178951195924109,0,-0.29722171102652,0,-0.0302519939616973,0.0343676257596334,-0.173519246179306,0,0,0.048655137806991,0,0,0.0137107807123394,0.0335202018111092,0.0749409882300163,0,0.0577892841667411,0.0115592835079281,-0.0180146898354881,0,0,0,0,0,0,-0.0731904857185168,0.039716328580125,0,0,0.0380734680353813,0.0883463188689997,0.0415525982014199,0.116867951797696,-0.00784757235434526,0.0827207730916222,0.00661816810163655,0,0,0,0,0,0,0,-0.107620096277686,0,0,0.292290628729863,0,-0.0351359146970218,0,0,0,0.00396879743942854,0.0577822465977306,0,-0.0962344084233203,0.047842365586035,0,0,0,-0.0178663223805849,-0.0615117115183846,0.30025747946192,-0.161382911646355,0,-0.0789437280176589,0.0427314773797019,0,0,-0.00430090118316124,0.00789273009267337,0.000649608377071177,0.0562203395061843,0,0.172194722496859,0,0.0307345685300686,-0.047939277659808,0,-0.161768503889501,0,0.151820000179415,0.022126494735562,0.068276390515752,0,0,-0.0366780589039576,0,0,0.0603933819652481,0,0,0,0,0,0.0201273765587183,0,0.0177203466414137,0,0.0566386899711553,0,0,0,0,0,-0.0622891485901241,-0.103208695862501,0.0144419524188686,-0.011394826905417,0.0698021862531375,0,0.312682766135284,0,0,0,-0.0166258625905814,0,0.047623291488716,0,0,0,0,0,-0.0115907686035436,0,0,0,0,0.00490600182168129,0.101194596260134,0,0,-0.00241746532771445,-0.106000379138165,0,-0.0392598121941316,0.0627739228858721,0.00568527593121105,0,-0.00484945674907185,-0.0589352311108052,0,0,-0.133945807819525,0.0835149518225581,-0.0260295255815484,0.0817267687482145,0,-0.452102073453963,0.0798220898416931,0,-0.0201787380904644,0,0,0.0283477046117119,0.032537325573964,0,-0.00189018655925117,-0.0442804940111701,0,0,0.0125893112064579,0,0,0,0.0289942761581091,0,0,-0.109300442304551,0,0.0839277759683448,0,-0.0888872824120581,0,0,-0.120800399274671,0,0,0,0,-0.0343995336001179,0.0811233166205766,-0.0965137069326111,-0.00975548182193096,0.0713811467484299,0,0,0.00151592821602613,0,0.0286318841262036,0,0.0164160956702504,0,0,0,0,0,0.0560773828718777,0,0.0317847892720236,0,-0.0956188445387077,0.0300396978947094,0,0,-0.0943944332995525,0,0,0.0224546213255846,-0.0806537483824357,0,0.0263880712988344,-0.0783239611803192,0,0,0,0.113804217789074,0,0.0706151419704947
0,0,0,0,0,0,0,15.279312033848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83608248820093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545302834263979,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521224125212939,0,0,0,0,0,0,0,0,0,0,0,0,-0.00854388086409853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03708838068795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607518478540101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193479706314063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134471747183246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243354071092802,0.205182641548574
0,0,0.00481595120489547,-0.0112007648673114,0.00864111045143789,-0.0338218563131979,0.0468119578798084,0,0.736741775252036,0.0633949944205475,0.0161338163154623,-0.00975387690126796,0.0114191431593687,0,0,0,0,0,0,0,0,-0.076776933645617,0,0,-0.0453137297102794,0.0210190291942537,0,0,0,-0.0188166481698053,0,-0.0272820323523668,0.0771296237682537,0,0,0.000344150024805059,0.0346805022307874,0.0121111805785912,0,-0.00656729163410637,0,-0.0209934063189335,0,0,0.0538724741916398,0,-0.0707993114909609,0.00512459919260619,0.0595250851900831,0,0,0,0.0117104280991939,0,0,0,0,0,0.0322311955645078,0,0.00960857669705405,0,0,0,0,-0.0120855146697601,0,0,-0.00651993484860299,0,0.068828802415616,0.0809832631058196,0.036719458094196,0.0280287342388832,-0.0339088651373895,0,-0.0573133105695399,0,0,0,0,0,0,0.0270104796980715,0.0300308977738057,0.00664606422619014,-0.13402396081436,0.00645973579462939,0,-0.0430793160118154,0.0237016892814349,0,0,0,0.0458243283725324,-0.0160911720223464,0,0,-0.0277453707454142,-0.0355431851522912,0.0733629097916694,-0.0221587899660137,-0.0542212105208129,-0.0507005382212274,0.0136856704835224,0,0,0.0292254338943246,-0.0167425542215144,0,0,0.0225912712807191,0,-0.125022277680019,0,0,0.0357752088106984,0.0501166317299499,0.00291323731266179,-0.0333453959463147,0,0.0684858921254477,0.0516859825347066,-0.105939599994541,0,0.0112050292533435,0.079064274284844,0.0116014013540201,0,0.0496948575172923,0,-0.0439558710731848,0.0550450382351977,0,0,0.0236201559049121,0,0.0171965474913782,0,0.00443695184716973,-0.0906059932001376,0,0.0760490258752128,0.111157168069798,0,0,-0.0141267758074795,0,-0.0473721346567279,0.0654541857342227,-0.0074395730796795,0,0,0.0598031075326065,0.0126280505961027,0,0,0,0,0.038934421945158,0,0,0,0.00699155558785197,0,0.0396702517282597,0.0366324486240327,0,0,-0.0204208363492752,0,0,-0.0135149436661212,-0.0711630749888709,0,0.00510966168432,0.000127168892684246,0,0.0135457176673368,0,0.0230016385728021,0,0.0389537778044932,-0.026273252739206,0,0,0,0.0208736559120998,0,0,0.00442203033842796,0.031002860681701,0,0,0.059041763897499,0.0175355087208711,0.012083666069965,-0.00765077418219452,-0.00687296906945266,0.0595627624285313,-0.0420230277336572,0,0,0.10219812154875,0,0,-0.0104160811083302,0,0,0,0.0300641977199708,-0.0413852888075441,0,0,0.0217007039786578,0,-0.0136148392604086,7.7614256763619e-05,0,0,0,0,0,0,0.0702553647912992,0,0.0177612204851306,0.0730620036418113,0,0,0,-0.0504850220990315,0,0,0,-0.0667995870325742,0.0269849717990283,0.0371440310311922,0.0390917865994007,0,0,0,0.0233500851037599,0,0,0,0,0.0132220665993926,-0.144676909092993,0,-0.0195357262309526,0,0.0351046816150468,0,0,0,0,0.00524849593684761,0,0.152626153356572,-0.0317853175207615,0,-0.0115667389008106,0.0492371162416498,0.0709423221723926,-0.00888971260066254,0,0,0,0,0,0,0,-0.0117893138335887
0.100229616856499,-0.0685222120903588,0.0884980483076932,0.122010497943571,0,0,0,0,0.0633876441635928,3.35143502417732,-0.0549574988920241,0,0,0,0,0,0,0,0,0.131758020175789,0,-0.0274347060829244,0.0498691076200544,-0.286296653745401,0,-0.321295867126178,0.025231763765671,0,0,0,0,0,0,0,0.119847622168384,0,-0.0644741887363246,0.0498014299847115,0,0,0,0,0,0,0.00592048383848931,0,-0.11359796759145,0.0730063467868015,0,0,0,0,0,0,-0.0370960721613172,0,0,0.0511080548329528,-0.0219785856665093,0,0,0,-0.0171212437676479,0,0,-0.00716840661488302,-0.672220574704032,0,0,0,0,0,0,0,0,0,-0.241930184341518,0.0635122639142191,0,0,0,0,0,0,0.06878902195089,0.0320322583059077,0,0.0426199746017784,0,0,0,0,0,0,-0.20720152965844,0,0,-0.0584411760764004,0.0283195394741645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22286144090386,0,0.16928043216528,0,0,0,0.160992554790349,0,0,-0.0553340963301365,0,0.0617195645805308,0.19544605860763,0,0,-0.069278490608764,-0.0276665164194519,0,0,0,-0.118888665626624,0,0,0,0,0,0,0,-0.0873653262328768,0,-0.12987073487918,-0.0171007944622523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209802207818786,0.068049768471313,-0.242281023721204,0.0306841881462192,0,0,0,0,0,0,0,0,0,0,0.33071447423133,0,0,0,0,0,0,0,0,0,0,0,-0.0632885927068101,0,0,-0.218694081546938,-0.0783151578361273,0,0,0.230642392831047,0,0,0,0.163677420528174,0.33137041484941,0,0,0.238128444508479,0,0,0,0,0.00939606213463583,0.0394165044422502,-0.0435662538139969,0.126356592318268,-0.0384015503243827,0.245368250190678,0.0259629763837973,0,0,0,0,0.00163945377858186,0.25961339060039,-0.185332484144845,0,0.00399517880214059,0,-0.0927754091956902,0,0,0,0,-0.0187606339057022,0,0,0,0,0.0035309438062206,0,0,0,0.446505889275287,-0.0455809315651545,0,0,0,0.0473013130319679,0.020305873080664,0,-0.0838389297917716,0,-0.142552366814458,0,0,0.00297276261769531,0,-0.0602661123157984,0,0,0,0,0,0,0,0,-0.0179267543737003,0,0,0,0,0,0,-0.131493850900289,0.0688515888614475,0,0.0369346379614529
