V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274
49.9927671436599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22.4336436704644,0,0,0,0,0,0.0142847924196024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253472373482744,0,0,0,0.0177262094837712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122133759670745,0,0,0,0,0,0,0,0,0,0,0,0,0.00490292413182048,0,0,0,0,0,0,0,0,0,0,0,0,0.00637929462454713,0,-0.239219628568281,0,0,0,0,0,0,0,0,0,0,0.0113642794619447,0,0,0,0,0,-0.078565231625906,0,0,0,0,0,0,0,0,-0.409315310065662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157196332029315,0,0,0.00948488059563138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0703914106541111,0,0,0,-0.0632334393360631,0,0,0.00466617802506483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670054485037662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862811539567598
0,0,3.972765005947,0,0,0,0,0,-0.0328847912464641,0,0,0.00463631503405243,0,0,0,0,0,0,0,0,0,0,0,0,0.0375568884464894,0,0,0,0,0,0,0,-0.00676034647909366,0,0,0,-8.42458174546737e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305977461219255,0,0,0,0,0,0,0,0,0.00928660476034925,0,0,0,0,0,0,0.0158260994847934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0482603010150844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313352098920011,0,0,0,0,0,0,0,0,0,-0.151238113153885,0.00268276059030925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373281205623351,0,0,0,0,0,0,0,0,0,0,0,0,0.00899450511757879,0,0,0,0,0,0,0,0,-0.000280370948442954,0,0,0,0,0,0,0,0,0,0.000765867125086362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00733653896437371,0,0,0,0.0156682409128749,0,0,0,-0.0290502934799423,0.00617950448428979,0,0.0105207027351221,0.00313779842852059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246812606153665,0,0,0,0,0,0,0,0.0153381912410952,-0.00440522642054261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387015966974597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284291428150742
0,0,0,5.28048621790636,0,0,0,-0.0992394982909395,0,0,0.00103333604361367,0.00440844580284773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727888053226408,0,0,0,0.0107893998862479,0,0,0.00535355107878056,0,0,-2.0195646869523,0,0,-0.0543548938207752,0,0,0,0,0,0,0,0,0,0.00461194619760375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106970124257814,0,0,0,0,0,0,0,0,0,-0.784302614969696,0,0,0,0.0126712821710542,0,-0.22600688019967,0,0,0,0,0,0,0,0,0,0,0,0.0062475030650672,-0.020103905595599,0,0,0,0.00921207873236437,0,0,0,0,0,0,0,0,0.0127308671284702,0,0,0,0,0,0,0,0,0,0,0.022436553106361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387690319866667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726505864607634,0,0,0.00561268313193949,0,0,0,0,0,0,0,0,0,0,0,0.00123036545230744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106171804831213,0,0,0,0.00197386427333966,0,0,0,0.00372619744413889,0.0130652746283029,0,0.00809992979486103,0.00770543977699716,0,0,0,0,0,-0.281453398146202,-1.807971781859,0,0,0,0,0,0,0,0.00681977689460864,0,0.0280583721841233,0,0,0,0,0,0.0024809565376177,0.00130345247777234,0,0,0,0,0,0,0,-1.95023679519219,-0.0319120697055008,0,0,0.00937221802128982,0,0.00182919391350797,0,0,0,0,0,0,0,0,0,0,0.0104824636413909,0,0,0,0,0,0,0,0,0,0.00964521430728613
0,0,0,0,21.0406186459901,0,0,0.0100903767548816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241511286544804,0,0,0,-0.0831849361457855,0,0,0.0477804109055252,0,0,0,0,0,0,0,0,0,-1.27983355058252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222503563071994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0616524570564246,0,0,0,0,0,0,0,-0.00764159641952273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039204856319938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00842023150329644,0,0,0,0,0,0,0,0,0,0,0,0.00176030031006039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23818132513763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0052937533928946,0,-0.0166798295552821,0.00989910044834506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437935505976373,0,0,0,0,0,-0.0520964562532591,0,0,0,0,0,0,0,0,0,0.0291072355239488,0,0,-0.428138058710887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130591729287745
0,0,0,0,0,24.3615010657184,0,0.00215991247751182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148992344327741,0,0,0,0.00427916411207544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7310172345674,0,0,0,0,0,0,0,0,0,0,0.0112503957854193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204732317754212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203880368653663,0,0,0,0,0,0,0,0,0,0.0156479770837902,0,0.0202828818627447,-0.00120208488955151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239138436725897
0,0,0,0,0,0,40.0693026461164,0,0,0,0,-0.0379273538940971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921591307984387,0,0,0,0.00556778712379757,0,0,-0.0556642004389169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100321966556511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.336593462563738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113920402588347,0,0,0.017548432560074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201339599295721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00374807451343584
0,0.0142813566158341,0,-0.0992363448891502,0.010115710168535,0.00217246827986441,0,0.405704490357719,0.0116578859873252,0,0.0112816301613115,0.0117232386948903,0,0,0,0.00373484226764681,0,0,0.00452610676904337,0.00317063047422737,0,0,0,0,0.00770763521280608,0,0,-0.0780807806922052,0,-0.000438880731340017,0,5.06364204384178e-05,0.0114256904822323,0,0.0092824353574294,0,0.0117547963817839,0.00018490239135848,-0.00609895157675514,0.0115147141629084,0,-0.0125553003824378,-0.0973042600666831,0.0124046398152289,-0.0891621899218263,0.00629600897886219,0.00105129048298819,0.00177736398209803,0,0.00940591562149376,0.00536458099529116,0.00287869690001466,0.00824014943158629,0,0,0.0109826096814127,0,0,0.0058819233763212,0,0.0107283239687276,0.0153022921528971,0.00195804610763661,0.00724128302690553,0,0.00582297894166922,0.00968254233447909,0.00276969051603195,0.00611235718128536,0,0.00877918359825322,0.00901929302845386,0,0,0.0159820206287896,0,0,0.0110295663950444,0,0.0051948559025503,0,0.0541778035893986,-0.00451668989769276,0,0.00173748732383865,0.012766699362061,0.0198611841499234,0.0622799690858901,0,0.00168021886102163,0.000864654402780913,0,-0.016111863481114,0.00540282689873048,0.00998449335385366,0,0,0,0.000843273240368729,0.00925416027073472,0.0129814090138238,0,0.0118710057446362,0,0.00886311282329508,0.00334360448282444,0.00391254921897669,0.00390697948705541,0.00366563331624559,0.000455768094899088,0.00122097508023342,0,0,0.0129332409572593,0,0,0.00990301108961051,0,0.0113679761825465,0.0156252036499583,0.0123233975591023,0.000899820223114258,0,0.0120333088668327,0.00911995903672835,0,0,0.000341775700721994,0.0148141264350138,0,0,0,0.00590017743548643,0,-0.0162602885403737,0,0,0.00493767982050188,0.0110838480005991,0.012991722803838,0.00868880822121971,0,0,0,-0.00392328246000637,-1.7571879705899,-0.0257401387972496,0,0.00157028239466509,0.00807404461817127,0.0139340201883809,0.00928628976432939,0,0.0106616333161893,0.00388990960263536,0,0,0,0,0,0,0.00507304710211165,0.0106472883765545,0,0,0,0,0,0.0103831301809035,0,0.00123354595032874,0.00428256478104734,0.0107642031145371,0.00087272126543088,-0.00652912567660378,0.00687374389068602,0,0,-0.0534363413238348,-2.33788777070003,0,0,0,0.00478299809892715,0,0,0,0.0124327903719953,0,0,0.0052988694662647,0,0.00111975415396018,0,0,-0.00719927533085612,0.0158029050023483,0.00637094668601349,-0.00759798195058308,0.0213494480467838,0,0.0103327702295022,0.0157513270530536,0,0.00774204384957377,0,0.0112435496156765,0,0.00430249846115969,0,0.0106432342850486,0.0130139979511275,0.00181657431596385,0.0151808933981956,0.0122207084888607,0,0.000111514257708336,0,0,0,0.0221109226319159,0.0497768034850837,0,0,0,0,0,0,0,0.0132952866640402,0.0100405847632821,0.0150720523119384,-0.0199551366268233,-0.0152116776076822,0,0.0106147993672498,0,0.00966329042930824,0.0102964786887171,0.0215362466352213,0,0,0,0,-0.00341296271520397,0,0.0371326407838925,-0.0461231760146552,0,0.00796609342432218,0.00908137618955306,0,0.0127892385336166,0,0.00801671557080549,0,0,0,0,0,0,0.00598131270154647,0.000378702785504847,0.0139079734253887,0,0,0.0034076988078373,0,0,0,0,0,-0.0193927740955361,0.02060453607706
0,0,-0.0328848908049557,0,0,0,0,0.0116568016849819,0.138446583507751,0,0.0182015623443241,0.0169982935903421,0,0,0,0.0108208631976882,0,-0.0400510419920003,0,0.00715410584497376,0,0,0,-0.0175445514512583,0.00788170610739025,0,0,0,0,-0.00214909696113579,0,0.0268520764942535,0.00883611427937802,0,0,0,0.00833807473081802,0.0119034337135084,0,0.0044982342398336,0,0,0.0149308946359446,0.0207213315029451,0,0,0,0,0,0.011675107978886,-0.0417508229509077,0.00368508864241882,0.00633002875625536,0,0,0.0104226840528499,0,0,0.00557580361178402,0,0.0149524779208714,0,0,0.0141419031193392,0,0,0,-0.0118442161036447,0,0,0.0680439148141841,0.0187330080317766,0,0,-0.0239563823848093,0,0.00997759835273088,0.00983175244808222,0,0,0,0,0,0,-0.0806043659821879,0.0141246341911811,0,0.0125387074118876,0,0,0,0,0,0.0129478653866881,0,0,0,0,0,0.00563198017629309,0.0016103976063415,0,0.00935455731055429,0,-0.000937482812023529,0.0247598609873261,0.00183806560117871,-0.0196580689963411,0.00549694900204403,0.00741123177287432,-0.00392599732423419,0,-0.0324110047894704,0.00448560962483687,0.00807539783370196,0,0,0,0.00541038965966155,0.0132690591222992,0.0509761434691221,0,0,0.0352223263554768,0.00943945796177251,0,0,0,-0.0598137038132007,0,0,0,0.0103368783234418,0,0.0111751489626026,0,0,-0.0126820600507861,0,0,-0.0465382600514429,0.0380418019648297,-0.00139119986821589,0,0.0216233913670364,0,0,0,-0.0545248059034826,0.000324488644682267,0.0229512316693892,0.0121650504461416,-0.0463415559613662,0.0153941841384929,0,-0.0294797116302714,-0.0251971577669772,0,-0.00944217182542372,0,0,0.00067474330259619,0.0085414186380427,0,0,0,0,0,0.0122838141488976,0,0.0130423794140866,0.00663073647148037,0.0104394721361703,-0.0649767179846853,0,0.00844641679652368,0,0,0,0,0,-0.0134707564435215,0,-0.00442882635850692,0,0,0,0.00933279965494645,0,0,0,0,0,0,-0.0219418978268149,0,0,-0.00584478783143377,0,0.0110495273898292,0,0,0.00587296369138732,0,0,0,0.00683082348619289,0,0,0,0.00421864405729538,0.00814164821630274,0,0.015379689134857,0.00916355431943815,0,0,0,0,0,0.0450870226126233,0,0,0,0,0,-0.00856364938268098,0,0,0.0140952219409939,0.00729610978458739,0.0202597794235455,0,0,0,-0.00457586489167036,0,0.0158518264739813,0.0079021332146009,0.00757122419130905,0,0,0,0,0,0,0.00127554475271032,0.00354527855821623,0,0.00762177338724314,0.0161420258633183,0,-0.0204308441169464,0,0.0194910949908231,0,0,0,0,0,0,0.0240055765453416,0,0.0158706611613053,0,0,0,0,0,0,0,0,0,0.00112612189274517
0,0,0,0,0,0,0,0,0,43.5373446009531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128021195382951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253931698777462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0932767038442577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104858821160299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173887725414843
