SampleID,genus_Akkermansia,genus_Alistipes,genus_Bacteroides,genus_Barnesiella,genus_Bilophila,genus_Blautia,genus_Butyricicoccus,genus_Butyricimonas,genus_Clostridium.IV,genus_Clostridium.XI,genus_Clostridium.XVIII,genus_Clostridium.XlVa,genus_Clostridium.XlVb,genus_Clostridium.sensu.stricto,genus_Collinsella,genus_Coprococcus,genus_Dorea,genus_Eggerthella,genus_Erysipelotrichaceae_incertae_sedis,genus_Faecalibacterium,genus_Flavonifractor,genus_Lachnospiracea_incertae_sedis,genus_Odoribacter,genus_Oscillibacter,genus_Parabacteroides,genus_Parasutterella,genus_Phascolarctobacterium,genus_Prevotella,genus_Roseburia,genus_Ruminococcus,genus_Streptococcus,genus_Veillonella,genus_unclassified_Bacteria,genus_unclassified_Clostridiales,genus_unclassified_Coriobacteriaceae,genus_unclassified_Erysipelotrichaceae,genus_unclassified_Firmicutes,genus_unclassified_Lachnospiraceae,genus_unclassified_Porphyromonadaceae,genus_unclassified_Ruminococcaceae
ZNDMXI3-01,0.0,2.4664487916605795,5.963155675619601,-3.250121934003101,-1.641139869331279,1.647260865229474,-0.5425288367291833,0.0,1.1861726154492949,0.9835275759890603,-2.3342908180940065,-0.4779900015749607,-1.8642843626948513,1.8583922860076836,0.007517451879825952,0.7197129231194745,0.18340832872687562,-2.3342908180940065,0.0,4.293753179878914,-0.07252489346679648,3.2225398624352266,0.0,-0.4472182001733982,3.3146860471959925,-3.945154129258818,2.286755357760902,-3.250121934003101,2.6243517953406803,0.0,1.0050338857854115,-2.151968005230875,-2.3342908180940065,-2.845284769400657,0.0,-3.945154129258818,0.11671661890447216,2.601623539396535,-3.945154129258818,0.9004608482866729
ZNDMXI3-02,0.0,1.5067402366718476,5.885177151800785,0.0,-1.1060003350262162,2.7460802520412537,0.32474653649076435,0.0,0.0,0.34625268920479624,-3.503027384318577,1.3636394512465602,-3.503027384318577,0.0,1.6140987504606104,0.4663967276144918,1.6319034464023254,-3.503027384318577,-1.894455631391378,1.7164608494701337,-0.8648372953520785,3.3193911209295393,0.0,-1.7121347052633658,3.4649553643463276,-1.5579844759120238,3.0342448232949275,-3.503027384318577,1.0287044031783084,0.0,1.3789068880952973,-2.1176029667072074,0.0,-3.503027384318577,0.0,-2.405285039158988,-0.8648372953520785,3.1744470953079125,-3.503027384318577,0.5391562635189153
ZNDMXI3-06,0.0,1.2314958896134927,7.156406821422674,0.0,-1.7840393561779164,1.6627687608382558,-1.4475683761293638,0.0,0.0,-1.7840393561779164,-0.7544180541407283,0.7809106778990141,-1.7840393561779164,0.0,0.3441931873855812,0.7496575973986029,1.07243125445642,-2.2950526456180604,-2.2950526456180604,2.7823903123711444,-0.3489539931743641,2.8090585690779912,0.0,-0.39774499505802585,3.329152864958295,0.0,2.2694835474823245,-3.39513228598012,-0.061272444293894585,-3.39513228598012,2.575230673808193,-3.39513228598012,-3.39513228598012,0.0,0.0,0.0,-2.699784884510572,2.461594981235171,0.0,0.007720113050138574
ZNDMXI3-07,0.0,2.01347112538092,6.752614410841346,0.0,-2.0469697049178888,-0.5428939611393676,-2.0469697049178888,0.0,-0.7942088617058478,-1.6415045968097244,-2.0469697049178888,-0.03206866797325539,-1.1306819484416564,0.0,-0.43753328018164306,0.09309470834538207,0.1502523929206767,0.0,-2.0469697049178888,0.1502523929206767,-0.1010616811459025,1.267214135829753,0.0,-0.1010616811459025,3.226027679317478,-2.7403847067533866,2.648952670532837,0.0,0.25561315652854505,0.0,0.03246997713928302,-2.0469697049178888,0.0,0.0,0.0,0.0,-1.3538262436067299,1.5225608962137538,0.0,0.9975506075222071
ZNDMXI3-08,0.0,-3.8259040842042458,5.99138447444425,0.0,0.0,3.2648549386154393,-1.7466129549053035,0.0,0.0,1.0337576227359015,-2.727443322167231,2.1061903095943744,0.0,1.9072864449558797,0.0,0.0,0.0,-1.7466129549053035,0.2514824374096249,-3.1327569036443004,1.0181322477022619,3.597513578474844,0.0,0.4644044408612591,-3.8259040842042458,0.0,0.0,0.0,3.4621895274331758,0.0,-2.216615915601514,1.3330004568277358,-3.1327569036443004,-3.8259040842042458,0.0,-2.439763478219585,1.516279323541224,3.4553307827875197,0.0,-0.781531899683219
ZNDMXI3-09,0.0,-3.2747622975135977,-1.8888816248921723,0.0,0.0,4.388229454635418,-2.5820288054521177,0.0,0.0,2.7162863542983944,2.5567042531947504,2.8516909896984837,0.0,2.312070433907516,0.0,0.0,-1.329267150526118,-0.23065573757187938,0.9144765269259291,-3.2747622975135977,2.7434150136326325,3.9804130674178064,0.0,0.0,-3.2747622975135977,-2.5820288054521177,0.0,0.0,4.8322406010689285,-2.5820288054521177,-0.9725927320156162,-0.9725927320156162,-3.2747622975135977,-2.5820288054521177,0.0,-1.329267150526118,0.0,4.743776469522694,0.0,-1.8888816248921723
ZM8YXDM-01,0.0,2.088517498740053,4.457571064904609,0.59888073312866,-2.2754898802277985,2.2962704870445143,-1.8235060499391487,-1.4488121962930554,0.0,0.0,0.9143976545203757,-1.1768782690832165,-0.7874137427331787,-0.8541051805377587,-1.9188163590890066,-0.3927592514024367,0.12240465345397346,-2.0241754519468906,-1.9188163590890066,2.3480806328369384,-1.7364945651615875,3.351102201887763,0.33247611347560835,-0.1438633088347351,2.090334031027982,-3.528252848723165,0.2094160920366742,0.0,1.2079448508295083,1.7800141091040655,-3.122787740615,0.0,2.095763912677453,-2.141958487603274,-2.8351056681632194,0.809037148161896,-0.5078286566273016,2.1904174908145904,-0.5838146183985465,2.3282499598236583
ZM8YXDM-02,0.0,1.9389101494669851,4.990037640783424,0.0,0.0,2.5129065760588745,-3.1830655582877267,-2.489921398059142,-1.1906375902012425,-4.2813456661860485,-0.4974904096412966,1.2113814336792335,-1.1461854694881675,0.0,1.4772217355147408,0.20695641872620738,0.08776778805360823,0.49744346339612827,0.008779442724575127,3.2177432807658306,-0.698160922052953,3.068193699294695,-0.2563282057302583,0.4457078334697583,2.156071637807972,0.0,-0.4974904096412966,0.0,0.0,0.0,-1.2859476876328397,0.0,0.0,-2.6722411426531854,-0.698160922052953,-3.5885336867272515,-0.8476927859307158,2.2404127836833228,0.0,-0.7263320291402768
ZM8YXDM-03,0.0,0.7363556401454495,4.53328091177094,-4.410838325461223,0.0,2.765115659347079,0.0,-2.213915188065379,-0.6269491599400201,-2.801700053056414,0.26169003630264825,0.6192990824160645,-0.17703228259139137,-2.3316979424854423,0.1738285627172103,0.0,-0.6499386032477091,-1.5779250978810344,-2.801700053056414,4.357590938489626,0.7762469579919995,2.235251628948543,-0.4221549688739785,1.8522593714329567,1.7730100069360473,0.9215799082554664,0.471662975326576,0.0,2.414321164946753,0.0,-4.410838325461223,0.0,0.0,-0.6044763756753316,-1.320096800704578,-1.1530423620378447,-1.0789346124006354,1.8330280308493687,0.0,0.8567192750618924
ZM8YXDM-06,-1.884004294704959,2.0736289463001225,4.6630199160721,0.0,-2.066327294199534,2.5566839550075318,-0.5847213105746981,-1.1908571141450137,-0.78539200603685,-2.9826165833730687,0.19543694641241943,0.23625895295517457,-1.1908571141450137,0.0,1.1840483608356775,-2.9826165833730687,0.10842554209892541,-1.1908571141450137,-0.8425508442002937,4.327264612946744,-0.17925642105740303,3.6314382557120486,-0.4977099335850683,0.9686268577660934,2.117249536557879,2.108061129856766,0.5869158083125692,-2.9826165833730687,2.6681163786107582,1.0247163395503534,-3.675972977255616,-3.675972977255616,0.8885841269723648,-3.675972977255616,-0.8425508442002937,-1.596322222253178,-0.7313251644244297,3.035976332754595,0.0,1.1840483608356775
