,ZNDMXI3-01,ZNDMXI3-02,ZNDMXI3-06,ZNDMXI3-07,ZNDMXI3-08,ZNDMXI3-09,ZM8YXDM-01,ZM8YXDM-02,ZM8YXDM-03,ZM8YXDM-06,ZM8YXDM-11,ZM8YXDM-12,ZM7JY3G-01,ZM7JY3G-04,ZM7JY3G-05,ZM7JY3G-07,ZM7JY3G-08,ZM7JY3G-09,ZM7JY3G-11,ZM7JY3G-12,ZM7JY3G-13,ZLZQMEV-01,ZLZQMEV-04,ZLZQMEV-04_2,ZLZQMEV-06,ZLZQMEV-07,ZLZQMEV-08,ZLZQMEV-09,ZLZQMEV-10,ZLZQMEV-11,ZLZQMEV-12,ZY9XQJP-01,ZY9XQJP-03,ZY9XQJP-05,ZY9XQJP-06,ZY9XQJP-07,ZY9XQJP-09,ZY9XQJP-10,ZY7IW45-04,ZY7IW45-05,ZY7IW45-07,ZY7IW45-09,ZY7IW45-2011,ZX52KVK-01,ZX52KVK-04,ZX52KVK-2011,ZX52KVK-2021,ZX52KVK-4011,ZX52KVK-6021,ZX52KVK-6031,ZX52KVK-6031_2,ZWLGEWL-01,ZWLGEWL-02,ZWLGEWL-04,ZWLGEWL-06,ZWHMV5E-01,ZWFDEY0-01,ZWFDEY0-05,ZWFDEY0-06,ZWFDEY0-07,ZWFDEY0-08,ZWFDEY0-09,ZWCZHHY-01,ZWCZHHY-04,ZWCZHHY-05,ZWCZHHY-06,ZWCZHHY-07,ZWCZHHY-09,ZWCZHHY-10,ZW61YGW-01,ZW61YGW-04,ZW61YGW-05,ZW61YGW-06,ZW61YGW-08,ZVM4N7A-01,ZVM4N7A-07,ZVM4N7A-09,ZVM4N7A-6021,ZVC4YUG-01,ZVC4YUG-04,ZYXQKWY-01,ZYXQKWY-04,ZYXQKWY-05,ZYXQKWY-06,ZYXQKWY-07,ZYXQKWY-08,ZYXQKWY-09,ZVBQY1N-01,ZVBQY1N-07,ZVBQY1N-6011,ZVBQY1N-6021,ZUPAQVU-01,ZUPAQVU-04,ZUPAQVU-07,ZUPAQVU-08,ZUPAQVU-09,ZUPAQVU-10,ZTXY83G-01,ZTXY83G-04,ZTXY83G-06,ZTUO1AO-01,ZTTL3YH-01,ZTJ7L7Z-01,ZTJ7L7Z-02,ZTJ7L7Z-03,ZTJ7L7Z-04,ZTJ7L7Z-05,ZTJ7L7Z-06,ZSOZWGV-01,ZRB0F6P-6011,ZRB0F6P-6021,ZR47VBL-02,ZR47VBL-03,ZR47VBL-04,ZQMVU4Q-01,ZQMVU4Q-03,ZQMVU4Q-04,ZPF36E2-01,ZPF36E2-03,ZPF36E2-04,ZLTUJTN-05,ZLTUJTN-06,ZLTUJTN-07,ZLTUJTN-09,ZLTUJTN-11,ZLTUJTN-12,ZLTUJTN-13,ZLTUJTN-15,ZLTUJTN-2011,ZLTUJTN-2021,ZLTUJTN-2031,ZLPZS0H-05,ZLPZS0H-06,ZLPZS0H-07,ZLPZS0H-08,ZLPZS0H-09,ZLPZS0H-10,ZLPZS0H-11,ZLPZS0H-12,ZLPZS0H-14,ZLPZS0H-15,ZL63I8R-04,ZL63I8R-05,ZL63I8R-06,ZL63I8R-07,ZL63I8R-09,ZL63I8R-11,ZL63I8R-12,ZL63I8R-13,ZL63I8R-14,ZL63I8R-15,ZKVR426-01,ZKVR426-04,ZKVR426-06,ZKVR426-07,ZKVR426-09,ZKVR426-10,ZKVR426-11,ZKVR426-13,ZKVR426-14,ZKVR426-2011,ZKVR426-2021,ZK112BX-01,ZK112BX-05,ZK112BX-06,ZK112BX-07,ZK112BX-08,ZK112BX-09,ZK112BX-10,ZK112BX-11,ZK112BX-12,ZK112BX-13,ZK112BX-14,ZJTKAE3-01,ZJTKAE3-04,ZJTKAE3-06,ZJTKAE3-6011,ZJTKAE3-6021
genus_Akkermansia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415887,0.2697533,0.0,0.0146302,0.00791,0.0349389,0.00948,0.0,0.0,0.0,0.0,0.0,6.9456842000000005,0.0482676,0.1441785,0.0276702,0.0,0.0326806,0.0677354,0.0353555,0.0244141,0.00581,0.106543,0.0215471,0.5292142,0.063004,0.0161708,0.0443721,0.1609231,0.0093,0.0,0.0505731999999999,0.0550799,0.0967937,0.9660597,0.0,3.5759096999999995,3.0180726,0.3050641,0.65625,0.7748673,0.4935157,0.0098599999999999,0.0160822999999999,0.00626,0.0,0.0,0.2281022,0.0088399999999999,0.0,0.6624511,0.2614187,0.0589827,0.6466513,0.00306,0.0,0.0,0.0467536,0.1963546,0.1423091,0.00949,0.0,0.0171703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956052,0.00704,0.1170122999999999,0.2984283,0.02701,4.7957246,0.2449573,0.0270124,0.0402609,0.0567924,0.00489,0.00428,0.1124189999999999,0.2815547,0.0,0.0173749999999999,0.031166,8.0244195,3.1700841,0.6519019,0.7484277,0.1178701,0.0,0.0946895,0.3159386,0.6348975,0.0724563,0.9244323,1.2882335,0.0,0.033456,0.00196,0.0,0.00118,4.0038556000000005,4.5000856,0.2244869,0.00556,0.0,0.3463803,0.0,0.0,0.0,0.1594588,0.2231556999999999,0.048606,0.1678255,0.1978348,0.0584671,0.1627812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00231,3.4366104,0.7722806,0.9693205,1.4034296,0.5586249,0.443824,2.1181185,4.9096668,0.0,0.1667535,1.5606507,4.0296544,1.7722915999999995,0.6302612,1.0105372,0.0,0.9169275,1.3982797,3.0370072,0.181043,2.2114504,0.3413741,2.8142828,0.062315,0.0,0.0,0.0,0.0,0.1295795,0.0,0.0,0.0,0.0127525,4.4380572,0.0951454,1.3299742,0.0880717999999999
genus_Alistipes,1.6135025,0.7928118,0.2319236,0.7797271,0.00374,0.00544,3.8656171,2.7756318,0.8494247,2.1764747,7.1525496,5.258611,2.1116286,1.6103506,2.5954579,6.534306300000001,0.6846521,2.0476169,0.8243152,2.7672262,2.0849701,3.7543941,1.8782397,4.7089227,4.7915514,2.1100945,5.6336258,9.4453225,4.8024513,3.5970052000000003,4.5618317,0.8460766999999999,3.4798535,12.5292142,6.6532258,12.4595731,5.5760982,4.1055028,5.2592409,0.1714325,1.8206339,0.9263432,0.8227464999999999,12.9064432,6.3092925,9.9749059,6.6011929,5.8816351,8.921875,11.976754,12.977470899999998,1.68664,3.5327544000000004,0.8916266,6.9642686,1.58821,0.2230333,0.221102,0.1843187,0.5721168,0.6873256,0.3677746,0.6497305999999999,0.1866014,0.8792786,0.5494908,0.6487055,0.5293038,0.2969929,0.00475,0.0305749999999999,0.4206731,0.6591284000000001,1.3583514,1.9523367,1.4889529,1.0451673,2.0695807,0.0,0.00365,7.8689146,3.1168648,1.4041474,5.8757212,5.0913838,1.1813515,2.9012133,6.1183144,1.8842097,3.4075420000000003,1.2281045000000002,0.3212679,3.637085,6.1804697,6.240537799999999,3.4228724,7.892789,4.7578062,9.3081575,4.051104400000001,0.1540881,0.00159,1.5365867,0.3550856,1.4544068,1.313581,2.3444778,0.9182281,0.6313043,0.5817835,2.4088324,2.5031841,3.2206035,1.8580141,1.5867131,2.2243769,2.3410775000000004,0.3114095,0.1473736,2.7156218,0.7980503,0.3621842,1.3859227,0.5460256,0.4660016,0.3280908,3.8999441,9.279002,0.5740406,1.3022499,0.689135,2.3090909,0.3892313,4.9915779,7.433929,7.311184099999999,2.8581453,0.0723945,4.0235525,3.9164405,4.9406066,9.4970915,10.2120324,7.3216638,10.631769,13.9165132,9.9824618,3.3775403,8.7869545,2.0159606,17.0453361,3.1570835,4.4631113,3.4342459,3.993093,3.7743997,1.4084507,0.8455499,6.430247,10.5490748,4.4851954,2.8522094,0.601361,1.3574776,6.1730799,0.7908612,2.9376318,3.6630919,4.6685455000000005,1.1426552,0.1765848,0.0523125,5.6987437000000005,1.3492144,0.8817655000000001,2.8284139,2.369932,0.8807178000000001
genus_Bacteroides,53.2561966,63.1976744,86.796271,89.1510385,68.6223917,0.021751,41.3129041,58.6745392,37.8537212,28.9942469,40.948550700000006,49.239379500000005,48.0651533,44.6545857,32.1138008,45.2141774,54.7372101,36.5813301,30.376222400000003,48.7617512,26.30084,47.8803707,29.1179618,30.571273100000003,52.32429440000001,55.9771108,62.1031197,60.8489501,63.02701750000001,60.6241862,60.437006,3.9170218,23.383969,21.8347884,7.232862900000001,9.9045925,38.6259429,33.8645106,52.3133218,2.5280578,29.6948753,13.1590807,40.7864489,17.5714571,48.6112699,2.8230866,18.6959056,6.3026236,14.0976563,20.003369,31.1578808,45.9683385,44.0763375,57.3647943,49.5162372,53.288501,59.0607259,50.823973300000006,38.9550546,74.5919904,65.8246439,65.3597946,55.6612779,86.17314160000001,26.9032345,50.0036633,65.6361405,65.2665728,65.177577,18.7933162,63.51634670000001,55.9495192,63.696801,54.716928,54.2890184,58.3381364,75.0824726,47.5438596,51.7911585,73.4034396,34.6580792,46.9499754,42.0724176,26.8718085,39.787971500000005,50.8895296,65.9547594,31.5505132,34.2700701,35.4952294,9.9716215,0.6211180000000001,35.835207000000004,39.9807719,47.581535,69.6493728,58.6154505,18.540832700000003,6.843192200000001,19.420273,19.9025157,88.8469441,15.9487098,5.7839501,20.4107201,7.8814858,20.3188076,23.117012,49.8776994,2.9184549,18.668451,48.7508573,63.1529657,57.1425188,50.7896493,39.188958,71.9712087,35.1281089,79.8168357,66.5881538,11.6744719,5.0009287,15.8495024,7.7748248,5.9070622,6.5687602,11.7877407,33.8709677,11.3426172,8.6797279,6.7302088,61.2424242,29.8827672,62.000901500000005,59.7015246,39.1177323,65.991705,2.4990589,42.7410451,68.9217863,57.0522431,59.5569124,71.980693,31.389986800000003,24.1110108,29.1098834,39.0314614,22.8794962,41.5004693,36.8304504,42.0792079,35.815144100000005,27.585794600000003,35.7699469,41.6339305,26.7403697,25.352112700000003,29.330697900000004,21.139782,18.0561142,16.130351,33.2175252,8.615739399999999,13.5824165,28.7934258,7.2349151,24.4652004,35.389806,36.1720377,31.9766757,76.8815116,65.0213866,11.8378448,53.5579474,25.8440103,49.9816196,74.27642370000001,21.7977652
genus_Barnesiella,0.00531,0.0,0.0,0.0,0.0,0.0,0.8715208999999999,0.0,0.00494,0.0,2.5634738,0.0,0.6632367,0.1780486,0.4192663,2.5066338,0.134017,2.1671186,0.4114718,2.9858031,0.8944219,0.0,0.0021,0.0,0.0,0.00596,0.0,0.00753,0.0,0.0,0.0,0.0313362,0.4794225,1.2276696,0.6300403,0.7357697,1.8266529,1.1931862999999998,0.477549,0.0160003999999999,0.3961563999999999,0.2002903999999999,0.0846945,0.0,0.0,0.0,0.0,0.0,0.0,0.6737977,0.00443,0.0,0.0,0.0,0.0191589,0.0,0.0,0.0,0.0,0.0,0.00294,0.00694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00282,0.5011224,0.778098,0.4270079,0.3895332,0.0,0.0073,0.0,0.0,0.0,0.0,0.00675,0.0,0.0,0.9319287,0.2174087999999999,2.4875057,0.0391428,0.0,0.0,0.0,0.0,0.00347,0.0,4.613691,14.3236466,3.276971,0.0,0.0,0.2066444,0.1025803,0.277808,0.3283952,0.2121933999999999,0.6948753,0.0,28.3738674,5.3596521,0.3027334,0.2497399,0.2877613,0.0,0.0057,0.0,0.2947269,0.1333379999999999,0.5957742,0.0,0.0,0.0,0.0,0.00656,0.0,0.0,2.7696873,0.0,0.0,0.00343,0.0,0.0,0.00237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002758,0.0,1.62671,2.5260074,4.168678,1.3813943,0.9155295,0.0,1.9052325,3.6198887,6.506436,2.2542779,2.7981193,0.924649,0.3591075999999999,1.3865088,0.7225151,0.0753239,1.2049645,0.6371768,0.0,0.0211902,0.0184632,4.8763114000000005,0.0,0.00487,0.00432,0.0,0.0
genus_Bilophila,0.0265379,0.0581395,0.0113688,0.0134436,0.0,0.0,0.0491987999999999,0.0,0.0,0.0346572,0.0147137999999999,0.0863915,0.1194800999999999,0.1582654,0.0299476,0.00474,0.0,0.0160868,0.0356608999999999,0.0169768,0.0,0.3515268,0.1636902,0.0788900999999999,0.1014573,0.0119214,0.0276528,0.0526831,0.0559794999999999,0.012207,0.0406788,0.0,0.0215471,0.00269,0.0252015999999999,0.00809,0.0221861,0.0313996,0.0589183999999999,0.0,0.0168577,0.0,0.0,0.0142487,0.0,0.0209118,0.00448,0.0244051,0.0117188,0.0421124,0.1239321999999999,0.0049299999999999,0.0536078,0.0125287,0.0574768,0.00477,0.0,0.0,0.0354459,0.042156,0.0058699999999999,0.0104087,0.0461894,0.00612,0.0,0.0,0.0876629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00227,0.0192122999999999,0.0107908,0.00595,0.0,0.0,0.00379,0.0,0.0065,0.1591617,0.0630233,0.0,0.00765,0.0675311,0.0805218,0.0227168999999999,0.063607,0.0,0.0198385999999999,0.00687,0.0,0.0,0.0,0.0820657,0.0221272,0.084398,0.0125785999999999,0.0,0.0079499999999999,0.0,0.1416276,0.021893,0.0207018,0.0062,0.0,0.0381497,0.0267648,0.0293916,0.1144641,0.0177629999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0430087,0.1300149,0.0318081,0.1014738,0.0,0.0208312,0.0319668,0.0,0.0690975,0.0348817,0.051428,0.0424242,0.00463,0.0877796,0.0688128,0.0410469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00418,0.0,0.0137624,0.0119574,0.0517206,0.0,0.0172741,0.0,0.0713776,0.0046,0.0251408,0.0292005,0.0312058,0.0339113,0.0662184,0.00389,0.0,0.0150648,0.0120496,0.0,0.0235598999999999,0.0105951,0.0123088,0.00648,1.3517649,0.1071759,0.0194616,0.00293,0.011009
genus_Blautia,0.7112149,2.7378436,0.3569804,0.0604961,4.4910627000000005,11.576944,4.7582232,4.9277122,6.4595783,3.528107,0.8386875,5.7055929,1.0533759,4.7123526,6.573496400000001,2.1844200000000003,0.9847337,2.6175484,2.6512502,1.7146616,4.9555811,2.6832843,2.992592,2.8563656,0.8070467,3.9996424,1.2041529,0.2634154,0.8161221,4.3904622,1.3656439,12.615943800000002,2.1924154,0.8166555000000001,1.4868952,1.7060155,1.1388848,1.7937044,3.6126271,23.026812,6.945381,25.827449800000004,4.525105900000001,8.2328802,6.0921248,4.6005855,15.6868021,8.8468578,2.359375,5.162974800000001,2.040455,2.7666815,1.2383403,3.9068699,2.2990708,1.6931367999999998,3.0768451,4.7021019,2.9632780000000003,2.8124059,4.3501248,4.8678093,3.630485,2.095442,17.9624064,4.7329475,1.8292327,0.7384642,1.9675783,12.3136808,4.0948699,0.7469093,1.0909711,2.3662059,8.7435659,0.2401537,0.7306922,5.7448707,3.1461721,1.1720889,5.288880499999999,1.4071625,1.4041474,0.8753896000000001,0.916089,2.2080023,2.7442875,2.1069692,0.7649569,1.8627896,0.1565711,0.6596702,0.5885465000000001,0.7210548,0.7415771,0.4586997,1.0089992,1.8915132,5.4447559,1.1524694,18.6981132,0.5941288,4.3660255,0.4655567,0.7626103000000001,0.5692184,1.5164062,3.0462837,6.7300301000000005,1.9837864,1.2713282,1.1492113,1.1758585,2.8077447,2.8694298,2.6065134,2.0275086,0.553308,1.6842696,5.1749221,10.4081048,4.1883358,7.7793429,2.8750906,0.5907062000000001,2.0293025,1.1348198,2.4069902,0.3242266,0.1976629,1.0354167,0.7515151999999999,1.5291228,1.6037579,1.8729974,1.7988217,1.4685429,16.3814323,1.4597645,1.5346657,1.005651,1.1097818000000002,0.2758145,4.5878035,7.982852,2.6396562,3.2893089,5.1808034,1.4312528999999998,2.3439459,3.0953622,1.5358785,0.9715413,1.81022,1.8540902,0.5354984,1.4084507,4.606599699999999,2.8287567,3.2230491,0.9928167,1.4000999,5.1454796,6.188875299999999,7.6335878,5.150361299999999,1.0545345,2.5183757,2.0340645,5.6661562,0.3107893,0.3815737,14.6613133,1.9689859,16.1007454,3.6825603,1.0897586,3.2696648
genus_Butyricicoccus,0.0796136,0.243129,0.0159163,0.0134436,0.0299155,0.0108755,0.0773123,0.0165545,0.0,0.1524919,0.2370558999999999,0.3643466,0.3535637,0.3165308,0.2944847,0.1895375,0.0553549,0.0528566,0.3401501,0.0933727,0.308213,0.0517923,0.1636902,0.31284,0.046117,0.0983518999999999,0.0477639,0.00753,0.0353555,0.0284830999999999,0.0174338,0.1378792,0.0969619,0.0322364,0.390625,0.1374515,0.2366514,0.0549493999999999,0.0310097,0.0891449,0.1095752,0.0600871,0.1209921,0.1082899,0.0457194999999999,0.0627353,0.1793802,0.1769372,0.1171875,0.143182,0.1659806,0.1084972999999999,0.1822665,0.1399039,0.5939266000000001,0.3481662,0.0582928,0.112025,0.1276053,0.0301114,0.0528712,0.0798002,0.0369515,0.0122362,0.1300973,0.0586124,0.00584,0.1451317,0.21037,0.00949,0.00218,0.0171703,0.0,0.0731961,0.104306,0.0192122999999999,0.0154154,0.0892061,0.0973916,0.0584219,0.0871377,0.0492507,0.2340245999999999,0.2984283,0.1980733,0.00703,0.00383,0.1350621,0.0644174,0.1135847,0.0342499,0.1113729,0.0462902,0.1304766,0.0384902,0.045175,0.0740192,0.326261,0.3260068,0.1513344,0.1792453,0.0159284,0.2172415999999999,0.0631263,0.0435777,0.0145952999999999,0.0672808,0.1302891,0.0605679,0.0762995,0.066912,0.251788,0.0312175,0.0509207,0.0889746,0.0855529999999999,0.0285063,0.0667306,0.0315801,0.0,0.1576986,0.2507429,0.2044803999999999,0.0918095999999999,0.0131268,0.0624934999999999,0.1438504,0.0714403,0.0531519,0.0174408,0.0342853,0.1090908999999999,0.1853482,0.1281108,0.0795648,0.1979911,0.1353265,0.2837865,0.3465407,0.0542808,0.1245531,0.0247535,0.0172384,0.117636,0.0451264,0.3683241,0.0536884,0.2003626,0.0938527,0.1086321,0.109432,0.0963365,0.0538084,0.179298,0.0647529,0.1381931,0.0,0.0439247,0.0965916999999999,0.1156476,0.0350406,0.0104018999999999,0.4544119,0.7029340000000001,0.1674716,0.7273970000000001,0.3314251,0.1807447,0.7474574,0.0235598999999999,0.151863,0.2800258,0.0971377,0.1708835,0.3117845,0.0800086,0.0439419,0.0605493
genus_Butyricimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.1124543,0.0331089,0.0444466,0.0831774,0.0,0.0826353,0.4242764,0.130569,0.1247815999999999,0.497536,0.1223634,0.2298111,0.0850375,0.0976169,0.3807337,0.0,0.0021,0.0,0.1199041,0.0178822,0.0100556,0.0225784999999999,0.0294628999999999,0.00407,0.0290562999999999,0.0,0.0215471,0.0859637,0.3402217999999999,0.1374515,0.2144652999999999,0.1177486,0.0868271,0.0,0.0337154,0.0100144999999999,0.0241984,0.0,0.2171677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684307,0.0176882,0.0496243,0.0481783,0.091056,0.1561307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892,0.0,0.0,0.0681947,0.0703581,0.143015,0.3183235,0.2003240999999999,0.0351593,0.0727217,0.1215559,0.2496175,0.0908678,0.0733927,0.0128507,0.1388705,0.1854141,0.3361474,0.045175,0.2298492,0.1581265,0.0250774,0.1949884999999999,0.0,0.0,0.0079499999999999,0.00789,0.0,0.0145952999999999,0.0828072,0.0868594,0.0,0.00954,0.1271328,0.2576663,0.3798127,0.2036829,0.0,0.0,0.00713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8151522,0.3352201,0.0,0.2325446,0.0857133,0.0545455,0.0185348,0.0569382,0.1419263,0.050705,0.0,0.00579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984623999999999,0.0,0.0743167,0.0687552,0.3034273,0.1705159,0.4750389,0.0,0.0329435,0.0689941,0.0703942,0.0642411,0.1352251,0.0723442,0.017828,0.0428416,0.00488,0.0451943,0.0722979,0.0245068,0.0,0.0105951,0.0,0.3367439,0.00255,0.0,0.00216,0.0,0.0
genus_Clostridium.IV,0.44849,0.0,0.0,0.0470525,0.0,0.0,0.0,0.1213993999999999,0.2172947,0.1247660999999999,0.0114441,0.0262931,0.3511253,0.4629262999999999,0.3344148,0.0236922,0.0116537,0.0965207,0.0699501999999999,0.00849,0.277996,5.6167146,0.8751128,6.251360200000001,3.3158089000000004,0.0476858,3.8261394,3.4018213,2.200878,0.2563477,0.7264063000000001,2.3126097000000003,0.00539,0.0107455,1.8271169,0.0242561,0.0295813999999999,0.4042704,0.195361,0.0457153,0.0252865999999999,0.4857043,0.0846945,0.0398963,0.1371585,0.1254705,0.0313915,0.0732154,0.0507812999999999,0.0505348,0.0619660999999999,2.8307935,2.6803903,0.6326999,0.6897211999999999,0.0572328,0.5144972,0.1061289,0.00709,0.00602,0.0646204,0.3122615,0.0246342999999999,0.00612,0.4441254,0.0366327,0.0175326,0.5250352,0.1361218,0.2373492999999999,0.0709777,1.6826923,1.1477925,1.0148926,0.0068,0.0960615,0.0107908,0.0535236,0.0,0.0,0.0568289,0.00704,0.019502,0.026527,0.013505,0.0140636999999999,0.0153098,0.0,0.0,0.3975466,0.0978569,0.6168344,5.4159503,8.7075951,4.3134639,4.5313966,2.0491644,0.0480384,0.0885085999999999,0.00582,0.1132075,0.0541565,0.0503365,0.0473446999999999,0.0871555,0.8392323,0.5848256,0.1551061,0.5521001,0.0381497,0.0,0.8827275000000001,0.239334,0.7614424,0.8007711000000001,0.4163577,0.2173603,0.0291946,0.0140356,0.0623485,0.03823,0.0325037,0.1772163,0.0144962999999999,0.0,0.0121515,0.0319668,2.6460406,0.00532,0.00581,0.00343,0.7515151999999999,0.0185348,0.0142344999999999,0.043008,0.0193162,0.0112772,0.00579,0.0245339,0.013159,0.1222466,1.670861,2.5547319,0.6117071,1.9720217,0.0368324,1.1560901,0.6678752,0.0703895,3.0981031,0.3543512,5.33704,7.036948499999999,6.1995724,6.9544572,2.8070478,1.4084507,0.5765113,0.2943747,6.3958166,6.832914800000001,4.7287176,0.0949517,0.0432967,0.00779,0.5516501,0.0301296,0.0481986,0.0122534,0.0,0.0,0.00308,0.1100894,0.020404,0.0146149,0.0410855,0.0205062,0.0385314
genus_Clostridium.XI,0.3662226,0.2484144,0.0113688,0.0201654,0.4823873,2.1750952,0.0,0.00552,0.0246926,0.0138629,0.7667533,0.0112684999999999,0.2535905,9.0053019,1.3426504,1.2793783,0.1019694999999999,0.2849658,0.9546147,0.5220381,0.2417357,0.1939458,0.0021,0.00544,0.00461,0.00596,0.0125694,0.0526831,0.0117852,0.0,0.0,0.1316119,0.0538677,0.0564137,0.3150202,0.0565976999999999,0.0887443,0.0274746999999999,0.0310097,0.0342865,0.0,0.00501,0.0362976,0.0170984,0.5486341,0.0,0.1210817,0.0060999999999999,0.0390625,0.0,0.0,0.0098599999999999,0.0160822999999999,0.00626,0.0,0.0667716,0.0253447,0.0,0.00709,0.0,0.0058699999999999,0.048574,0.274057,0.3976750999999999,0.1704724,0.1245512,0.0642861,0.1195202,0.0185620999999999,3.2137093,1.51128,0.0858516,0.0568214,0.0337827999999999,0.3333258,0.3458213,0.0354555,0.1694915,0.1270325,0.0073,0.0303088,0.0211074,0.1170122999999999,0.00663,0.1147924999999999,0.0632867,0.1492709,0.0405185999999999,0.0563652,0.0113585,0.00489,0.6339687,0.3703213999999999,0.3227579,0.2694311,0.052125,0.4752814999999999,0.1281025,0.2596253,0.3113996,0.0,0.0,0.0715308,0.0867986999999999,0.0326833,0.1459533999999999,0.1086844,0.6700583,0.0489203,0.0953743,0.0267648,0.1234447,0.0,0.0165787999999999,0.0,0.0,0.0,0.0583893,0.0526334,0.1316245,0.0,0.0,0.0,0.0,0.00656,0.0,0.0,0.2280596,0.0,0.0,0.0,0.0484848,0.2594875,0.00712,0.0150528,0.0,0.0,0.2461413999999999,0.00307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506894,0.00521,0.1954254,0.2271912,0.4551409999999999,0.1532484,0.3454828,0.0,0.0,0.1011913,0.1106195,0.1576826,0.0499293,0.3391133,0.3412795,0.0662097,0.00488,0.0,0.0,0.0,0.0176699,0.0070599999999999,0.0830846,0.0129517,0.0433585,1.0425294,0.0670343,0.0146472999999999,0.2807288
