SampleID,genus_Akkermansia,genus_Alistipes,genus_Bacteroides,genus_Barnesiella,genus_Bilophila,genus_Blautia,genus_Butyricicoccus,genus_Butyricimonas,genus_Clostridium.IV,genus_Clostridium.XI,genus_Clostridium.XVIII,genus_Clostridium.XlVa,genus_Clostridium.XlVb,genus_Clostridium.sensu.stricto,genus_Collinsella,genus_Coprococcus,genus_Dorea,genus_Eggerthella,genus_Erysipelotrichaceae_incertae_sedis,genus_Faecalibacterium,genus_Flavonifractor,genus_Lachnospiracea_incertae_sedis,genus_Odoribacter,genus_Oscillibacter,genus_Parabacteroides,genus_Parasutterella,genus_Phascolarctobacterium,genus_Prevotella,genus_Roseburia,genus_Ruminococcus,genus_Streptococcus,genus_Veillonella,genus_unclassified_Bacteria,genus_unclassified_Clostridiales,genus_unclassified_Coriobacteriaceae,genus_unclassified_Erysipelotrichaceae,genus_unclassified_Firmicutes,genus_unclassified_Lachnospiraceae,genus_unclassified_Porphyromonadaceae,genus_unclassified_Ruminococcaceae
ZNDMXI3-01,0.0,1.6135025,53.2561966,0.00531,0.0265379,0.7112149,0.0796136,0.0,0.44849,0.3662226,0.0132688999999999,0.0849212,0.0212303,0.8784035000000001,0.1379969,0.2813014,0.1645348,0.0132688999999999,0.0,10.0313147,0.1273818,3.4366541,0.0,0.087575,3.7683775,0.00265,1.3481238,0.00531,1.8894963,0.0,0.374184,0.0159227,0.0132688999999999,0.00796,0.0,0.00265,0.1539196,1.8470357,0.00265,0.3370309
ZNDMXI3-02,0.0,0.7928118,63.1976744,0.0,0.0581395,2.7378436,0.243129,0.0,0.0,0.2484144,0.0052899999999999,0.6871035999999999,0.0052899999999999,0.0,0.8826638,0.2801268,0.8985201,0.0052899999999999,0.0264271,0.9778013,0.0739958,4.8572939,0.0,0.0317125,5.6183932,0.0369979,3.6522199,0.0052899999999999,0.4915433,0.0,0.6976744,0.0211416,0.0,0.0052899999999999,0.0,0.0158562,0.0739958,4.2019027,0.0052899999999999,0.3012685
ZNDMXI3-06,0.0,0.2319236,86.796271,0.0,0.0113688,0.3569804,0.0159163,0.0,0.0,0.0113688,0.0318327,0.1477945,0.0113688,0.0,0.095498,0.1432469,0.1978171999999999,0.00682,0.00682,1.0936789,0.047749,1.1232377999999998,0.0,0.0454752,1.8894952,0.0,0.6548431,0.00227,0.0636653,0.00227,0.8890405,0.00227,0.00227,0.0,0.0,0.0,0.00455,0.7935424999999999,0.0,0.0682128
ZNDMXI3-07,0.0,0.7797271,89.1510385,0.0,0.0134436,0.0604961,0.0134436,0.0,0.0470525,0.0201654,0.0134436,0.1008268,0.0336089,0.0,0.0672179,0.1142704,0.1209921,0.0,0.0134436,0.1209921,0.094105,0.3696982,0.0,0.094105,2.6214963,0.0067199999999999,1.472071,0.0,0.1344357,0.0,0.1075486,0.0134436,0.0,0.0,0.0,0.0,0.0268871,0.4772468,0.0,0.282315
ZNDMXI3-08,0.0,0.00374,68.6223917,0.0,0.0,4.4910627000000005,0.0299155,0.0,0.0,0.4823873,0.0112183,1.4097674,0.0,1.1554858,0.0,0.0,0.0,0.0299155,0.2206267,0.00748,0.4749083999999999,6.2635555,0.0,0.2729787999999999,0.00374,0.0,0.0,0.0,5.470795,0.0,0.0186972,0.6506619,0.00748,0.00374,0.0,0.0149576999999999,0.7815420999999999,5.4334006,0.0,0.0785281999999999
ZNDMXI3-09,0.0,0.00544,0.021751,0.0,0.0,11.576944,0.0108755,0.0,0.0,2.1750952,1.8542686,2.490484,0.0,1.451876,0.0,0.0,0.0380642,0.1141925,0.3588907,0.00544,2.2349103,7.699836899999999,0.0,0.0,0.00544,0.0108755,0.0,0.0,18.0478521,0.0108755,0.0543774,0.0543774,0.00544,0.0108755,0.0,0.0380642,0.0,16.5198477,0.0,0.021751
ZM8YXDM-01,0.0,3.8656171,41.3129041,0.8715208999999999,0.0491987999999999,4.7582232,0.0773123,0.1124543,0.0,0.0,1.1948271,0.1475963,0.2178802,0.2038234,0.0702839,0.3233062,0.5411864,0.0632556,0.0702839,5.0112454,0.0843407,13.6631993,0.6676974999999999,0.4146753,3.8726455,0.0140568,0.5903852,0.0,1.602474,2.8394715,0.0210852,0.0,3.8937307,0.0562272,0.0281136,1.0753444,0.2881642,4.2802924,0.267079,4.9128479
ZM8YXDM-02,0.0,2.7756318,58.6745392,0.0,0.0,4.9277122,0.0165545,0.0331089,0.1213993999999999,0.00552,0.2427987999999999,1.3409116,0.1269176,0.0,1.749255,0.4911158,0.4359342,0.6566604,0.4028253,9.9713056,0.1986536,8.5862488,0.3090167,0.6235514999999999,3.4488467000000003,0.0,0.2427987999999999,0.0,0.0,0.0,0.1103631,0.0,0.0,0.0275908,0.1986536,0.0110363,0.1710628,3.7523452,0.0,0.1931353999999999
ZM8YXDM-03,0.0,0.8494247,37.8537212,0.00494,0.0,6.4595783,0.0,0.0444466,0.2172947,0.0246926,0.5284212,0.7555929,0.3407576,0.0395081,0.4839745,0.0,0.2123562,0.0839548,0.0246926,31.7546546,0.8839942999999999,3.8026569,0.2666798,2.5927206000000003,2.39518,1.0222726999999998,0.651884,0.0,4.5483728,0.0,0.00494,0.0,0.0,0.2222332,0.1086472999999999,0.1284014,0.1382784,2.5433355,0.0,0.958072
ZM8YXDM-06,0.0415887,2.1764747,28.9942469,0.0,0.0346572,3.528107,0.1524919,0.0831774,0.1247660999999999,0.0138629,0.3327095,0.3465724,0.0831774,0.0,0.8941568000000001,0.0138629,0.3049837,0.0831774,0.1178346,20.7250295,0.2287378,10.3347889,0.1663548,0.7208705999999999,2.2735149,2.2527206,0.4921328,0.0138629,3.9439939,0.7624593,0.00693,0.00693,0.665419,0.00693,0.1178346,0.0554516,0.1316975,5.6976502,0.0,0.8941568000000001
