,ZOZOW1T-4026,ZOZOW1T-44,ZOZOW1T-59,ZOZOW1T-6021,ZOZOW1T-6031,ZOZOW1T-61,ZOZOW1T-62,ZOZOW1T-63,ZOZOW1T-64,ZOZOW1T-70,ZOZOW1T-7011,ZOZOW1T-7015,ZOZOW1T-7022,ZOZOW1T-7036,ZOZOW1T-7040,ZOZOW1T-7044,ZOZOW1T-7045,ZOZOW1T-71,ZOZOW1T-80,ZOZOW1T-82,ZOZOW1T-83,ZOZOW1T-84,ZOZOW1T-86,ZN9YTFN-01,ZN9YTFN-03,ZN9YTFN-04,ZN9YTFN-07,ZN9YTFN-08,ZN9YTFN-09,ZN9YTFN-11,ZN9YTFN-12,ZN9YTFN-6011,ZN9YTFN-6021,ZN9YTFN-6031,ZN3TBJM-01,ZN3TBJM-02,ZN3TBJM-03,ZN3TBJM-04,ZN3TBJM-06,ZN3TBJM-07,ZN3TBJM-10,ZN3TBJM-11,ZN0JE53-01,ZN0JE53-04,ZN0JE53-07,ZN0JE53-08,ZN0JE53-09,ZN0JE53-11,ZN0JE53-12,ZMBVNFM-04,ZMBVNFM-07,ZMBVNFM-10,ZMBH10Z-01,ZMBH10Z-04,ZMBH10Z-05,ZMBH10Z-08,ZMBH10Z-08_2,ZLZNCLZ-01,ZLZNCLZ-03,ZLZNCLZ-06,ZLZNCLZ-08,ZLZNCLZ-10,ZLZNCLZ-11,ZLZNCLZ-12,ZLZNCLZ-13,ZLZNCLZ-14,ZLZNCLZ-2011,ZLYEM2C-01,ZLYEM2C-03,ZLYEM2C-07,ZY1ZKJY-01,ZY1ZKJY-04,ZY1ZKJY-05,ZY1ZKJY-06,ZY1ZKJY-07,ZY1ZKJY-08,ZY1ZKJY-09,ZY1ZKJY-11,ZY1ZKJY-2011,ZVTCAK9-01,ZVNCGHM-02,ZVNCGHM-09,ZVNCGHM-10,ZVNCGHM-6021,ZVNCGHM-6031,ZVNCGHM-6041,ZVGW5FI-01,ZV14SIB-01,ZV14SIB-02,ZV14SIB-03,ZV14SIB-04,ZV14SIB-05,ZUL3S6O-07,ZTMFN3O-01,ZTMFN3O-02,ZTMFN3O-04,ZTMFN3O-05,ZTMFN3O-06,ZTMFN3O-07,ZTLIFAS-01,ZTLIFAS-03,ZTLIFAS-04,ZTLIFAS-05,ZRLZ98T-6011,ZQFL1P3-01,ZQFL1P3-03,ZQFL1P3-6011,ZQFL1P3-6021,ZQFL1P3-6031,ZPMBHPS-01,ZPEL6L3-02,ZPEL6L3-03,ZPDABJR-3011,ZPDABJR-6011,ZLPRB8E-06,ZLPRB8E-07,ZLPRB8E-08,ZLGD9M0-05,ZLGD9M0-07,ZLGD9M0-08,ZLGD9M0-09,ZLGD9M0-13,ZLGD9M0-15,ZL9BTWF-04,ZL9BTWF-05,ZL9BTWF-06,ZL9BTWF-07,ZL9BTWF-09,ZL9BTWF-10,ZL9BTWF-11,ZL9BTWF-12,ZL9BTWF-6011,ZL9BTWF-6021,ZL9BTWF-6031,ZKFV71L-01,ZKFV71L-04_2,ZKFV71L-05,ZKFV71L-07,ZKFV71L-09,ZKFV71L-12,ZKFV71L-2011,ZKFV71L-6011,ZKFV71L-6021,ZK4CK8Y-01,ZK4CK8Y-04,ZK4CK8Y-05,ZK4CK8Y-06,ZK4CK8Y-07,ZK4CK8Y-08,ZK4CK8Y-09,ZJXC41N-6021,ZJXC41N-02,ZJXC41N-11
genus_Akkermansia,0.4521253999999999,0.00917,0.0,0.2364509999999999,0.2988107,0.0117288,0.0,0.00709,0.00815,0.2051106999999999,0.0,0.0565195,0.0858899,0.00481,0.2832661,0.0370405,0.2328722,1.2547253,0.1962777,0.0745094999999999,1.2610885,0.2628435,0.2315639,14.9516771,0.0203777,0.2106869999999999,0.0,0.0,0.0,0.0,0.1248206,0.0,0.0,0.0,0.0547512,0.0506671,0.0,0.0194894,0.0,0.3756345,0.3771461,0.0,0.0850691,0.2650551,0.0,0.0,0.00999,0.0,0.0,16.3611648,0.1125773,0.0707047,8.789344400000001,9.4522515,0.3093209,0.184492,0.0646245,0.00821,0.0,0.0,0.0,0.0,0.0,0.0521252,0.0,0.0,0.0,2.5697267,0.0,0.0,0.4124137,0.8423531999999999,0.7978992,0.0498228999999999,0.0539748999999999,0.1684296,0.0,0.0663672,0.1688782,0.9700913,0.2980491,0.0,0.1088872999999999,0.3556368,0.00975,0.0222222,0.0,0.0,0.0256586,0.0082899999999999,0.00273,0.1500681999999999,0.0,0.0,0.0,1.2119304,1.756926,1.8651455,0.085384,0.4704585,0.0,0.0,0.2277626,0.0,0.0,0.2247244,6.963129,0.0516584999999999,0.1434034,0.011274,0.3524653,0.3446816,0.0482092,0.7747161,0.139377,0.0,0.090458,11.277514,7.5208863,1.2458715,8.617256,0.2159201999999999,0.0,6.948020400000001,4.660709,1.1191716,0.0470639999999999,0.00752,0.0,0.5989032,0.6169505,0.057858,0.0435613,0.0,0.1252826,2.4328723,3.9689141,0.1675333,1.2989434,0.102502,0.0792731,0.1303036,0.2907497,2.1874815,7.2998854,1.7941774,0.1280097999999999,0.3489367,0.2733689,0.0956896,0.00229,0.0106485,0.0123487
genus_Alistipes,1.094397,7.764378600000001,4.6771015,0.7881699000000001,1.0518138,2.6653765,4.663806699999999,2.4595102,2.0505503000000003,1.6109734,3.8888379,1.9442717000000005,4.5629009,1.76097,2.4644147000000003,2.9447171,0.8150529,3.2051798,1.9347377,5.1107984,2.2456645,1.385902,2.1256383,5.872654900000001,1.4887017,1.8870229,5.3035263,2.629131,1.1882288,4.2893401,7.22087,0.2391248999999999,0.4712886,0.6266158,0.6691812,0.7684513,0.1776433,0.5197168,0.0899743,1.2791878,3.1410076,4.2568329,0.3232628,1.6194869,0.4907538999999999,0.1771051,0.0899191,2.2380468,0.9417083,8.8315881,4.7725385000000005,9.8279519,6.7103897,10.3873902,7.753643100000001,9.1497326,14.4500452,2.0746093,0.2871256,2.876523,2.6262897,1.1902209,1.3147204,1.7570532,3.189110400000001,2.2693452,1.0152284,2.7085765,1.0577286,1.3536317,0.3505516,2.22816,2.7976972,1.4946856,0.6554091,1.1891127,6.7018628,1.6387584,1.1821472,0.9014387,5.8827071,4.4986742,4.3399357,5.075445800000001,1.9881103,2.3333333,0.1682565,0.4450023,0.83818,0.7796085,2.0226559,1.9372442,3.9355557,17.4505248,1.1201344,4.997245599999999,6.4251057,8.1463915,12.759436,5.8255735,11.9433058,2.9968288,8.0815065,49.3067833,1.4621815,2.8173345,2.7404086000000003,1.784369,4.8729052,2.0124014,1.3377659,1.3545383,3.7542936,3.5038295999999995,6.284086799999999,3.6503938,11.0798098,0.9559776,8.1274973,3.7041682,3.0195382,7.6111857,10.6953561,1.1119818,2.6159122,1.4074901,4.5139946,2.089283,1.5348343,0.8803156,1.9133995,0.2828612,0.2111047999999999,0.4298574,2.3498136,2.4165989,3.0713461,2.0024972,1.535115,1.9615152,2.6769925,0.2148866,2.5675434,4.0264624,11.5410389,3.3513879,7.6257239,2.8836658,5.8188513,6.733069499999999,16.8012628,12.3416037,14.3739195
genus_Bacteroides,16.1708781,32.0555734,26.5494293,58.118150400000005,40.0227096,47.5105559,62.0779,65.0990538,54.9653486,55.1277669,42.6763276,38.1054654,28.5557077,38.7557737,19.5854873,43.0688027,35.9880769,51.4276522,63.7727384,29.342936800000004,54.175657300000005,62.70011949999999,24.5873412,16.0005685,17.8530997,10.3328244,26.1294547,12.9742962,3.8811771,11.9746193,21.1508457,0.7886034,1.9471661,5.5628588,65.4945857,48.3110961,77.14981250000001,61.7943221,72.8920308,76.6091371,41.0920349,38.3944981,43.4776268,30.5873622,41.650071100000005,64.4099179,5.6549106,49.988262,68.3774367,27.212676,44.990311,32.8642133,38.816439200000005,25.2726775,26.4366236,47.8636364,31.443712,11.6101486,10.2705141,45.9866851,14.8153111,52.2196011,72.9595982,24.092696,47.9290228,62.140377,43.591370600000005,16.2675575,28.6221746,43.866471,6.366635700000001,35.0255876,25.3105747,22.9960142,7.8571979,38.2436165,66.40538550000001,45.1092506,54.3546441,7.9189302,41.3836705,29.2795829,44.0578658,6.5945232,16.674788,26.866666700000003,64.53402679999999,5.288681,4.3020869,12.4433263,23.5921933,33.0968622,43.7852321,19.7420079,39.1860357,26.449988200000004,39.0475818,29.5154467,40.5201857,68.8118491,18.9883971,20.9838135,57.42872249999999,1.6097515999999998,35.2819511,24.0194919,6.190832100000001,12.4303149,34.8414127,48.2243517,45.5601394,25.3068876,7.7717293,18.1265957,38.6256211,26.716244900000003,24.0178848,14.0310747,28.723211,54.316652,36.2990473,14.1598862,40.324335700000006,13.231837,24.693089200000003,8.113219200000001,49.894798,67.0261536,64.7589108,55.9216856,40.5680494,48.70141,46.5670341,51.749772400000005,24.7723523,29.0805533,24.7234671,32.3686997,6.7557489,26.9789871,25.9588999,74.7782553,31.8393272,8.0017327,4.8572231,12.4238321,15.2880219,3.8975574,12.809283399999998,2.3922404,26.9245728,9.0405708,27.8463818
genus_Barnesiella,0.3464886,1.6140126,0.7770383,0.1276084999999999,0.2988107,0.961764,1.7372466999999998,0.6946167,0.737872,0.8930861,0.3485279,0.3447691,0.4804466,0.6254811,0.2124495,0.3611446,0.3050625999999999,1.3230918,0.7570713,2.9721003,0.0495485,0.0557547,0.2493766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608347,0.2364465,0.0592143999999999,0.0779575,0.1028278,0.4467004999999999,0.5572755,0.2608644,0.00243,0.0106021999999999,0.0,0.0,0.0,0.0,0.0,1.8669952,1.0519516,2.9460288,0.7115545,0.0735118,0.6736321,0.513369,0.1654388,0.9305635,0.4906436999999999,1.808818,1.0228237,1.14733,1.8760617,2.1545077,4.4287798,3.999256,1.8147208,0.0181108,0.00397,0.0403522,0.1340344,1.1593678,0.9392991,0.6255536,0.454931,0.8589908,0.0,1.0159281,1.145959,0.0,0.3492293,1.4426318,3.1732863,0.7417568,0.0584738,0.3444444,0.0,1.3121862,1.4112213,1.2164105,1.6841818000000002,0.0,1.7537755,0.0,0.0,0.0314787,0.0,0.0,0.0,1.5898251,0.9935385,0.0480935,2.7819579,0.7443938,0.32461,1.3625396,0.3674639,0.3207129,1.8192554,1.4036077,0.8731526,1.3787265,0.0843661,0.5898407,2.9026785,3.8902883,6.347565400000001,0.3754855,6.9869234,2.0903884,3.1379515,0.00132,0.0,0.0,0.00127,0.0,0.0719803,0.0,0.0,0.0,0.0,0.00107,0.00335,0.0,0.8861456,0.0108489,0.0,0.00316,0.0,0.0,0.0365876,0.00686,0.0,0.112229,0.0410713,0.0241803,0.1219141,0.1119231,0.4407375,0.0652429,0.0,0.0,0.0
genus_Bilophila,0.0042299999999999,0.0825347,0.00372,0.00375,0.00598,0.0,0.0,0.0,0.00408,0.00427,0.0,0.1017351,0.0134203,0.0,0.0,0.0,0.0,0.0,0.0,0.0110384,0.0048,0.0,0.0118751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00844,0.0,0.0,0.0,0.0203046,0.0112581,0.0237149,1.5993,0.5513147,0.0817923,0.0161005,0.0,0.0391267,0.1035879,0.2506319,0.0,0.0134676,0.0405156,0.2684035999999999,0.0481166,0.00535,0.0258498,0.1532693,0.0,0.0628061999999999,0.0178659,0.0,0.0147721,0.0195469,0.0291687,0.0,0.0,0.4869803,0.107162,0.0073399999999999,0.00516,0.0317015,0.0101,0.0276794,0.0,0.0134744,0.1291037,0.0153155,0.0241255,0.0596979,0.0015099999999999,0.0224709,0.00519,0.0152416,0.0,0.0111111,0.0,0.00571,0.00855,0.0,0.00273,0.0,0.0104391,0.0801218,0.1120134,0.3934839,0.0352168,0.1345981,0.0569226999999999,0.0243341,0.0,0.0285555,0.0,0.0093,0.00862,0.0118276,0.0373692,0.00215,0.0,0.011274,0.056074,0.0423293,0.0180785,0.0176072,0.0,0.008,0.0155071,0.0539491,0.1798039,0.0543501,0.0107648,0.038181,0.0737126999999999,0.0,0.00127,0.0,0.0,0.0,0.0,0.0,0.0,0.0728582,0.0603157,0.1163144,0.0122227,0.0,0.0297947999999999,0.00158,0.00622,0.0,0.0,0.00914,0.00447,0.0511922,0.0670111,0.0145081999999999,0.0731484,0.0131674,0.0111579,0.0217476,0.00686,0.00532,0.0370462
genus_Blautia,1.2296121,2.8764883,2.2418857,1.2573187,0.7769079,1.8883415,1.2572739,1.5770635000000002,1.1618426,1.1281087,0.8896634000000001,0.7799695,0.4750785,1.6599307,2.5446734,0.8797111,2.5196777,0.9289793,1.0234482,1.9869194,1.3889555,1.393867,0.3859399,4.1472428,4.884979400000001,1.3312977,1.0148723,2.005712,1.7268184,3.9746193,6.8776134,20.3968456,0.2273761,0.5083038,5.767125,1.9760176,1.2895584999999998,1.5331644,1.6066838,2.0913706,4.2443006,1.778621,1.8277714,2.4676633,2.8236131,1.4892932,5.7847937,1.6511464,1.3560599,1.2850194,0.6533173,1.1851453,1.0559368,1.9044688,0.7698653,1.1203209,1.8792814,2.8026384,3.6358236,1.0048989,3.9305016,3.6993352,0.3693035,2.7843538,1.560525,0.5270337,2.0812183,1.0625025,1.7780953,1.4526779,2.5002578,1.5805443999999995,0.3938996,0.8635961,0.3238492,1.1116351,0.5855773,1.0669798,0.7599517,8.2204048,0.927264,1.2314053,1.1614643,0.2083016,0.5555013999999999,1.0444444000000002,1.5393387,1.340712,1.0605542,0.718788,1.6841818000000002,1.0845839,0.3027351,0.6810352000000001,0.0466723,10.096797,7.9746439,5.5057044,3.0103337,1.4129976,1.1047037,2.1116071,1.4235165,1.0328464000000002,1.1088449,1.814354,0.928002,1.3603392,2.7387246,0.4565953,1.95458,0.9312451,1.2273266,0.8451448,0.424191,3.4944624,2.289879,3.7009063,3.3091173,4.5445044,1.3886646,1.1625458,4.1630103,1.500056,1.1728261,1.3361855,1.6680047999999998,4.5054862,2.5796311,2.0348278,1.4442897,3.0654009,2.4260296,3.3832305,1.3842205,1.6653106000000002,1.3854577,2.193738,1.224363,1.8823091,1.2439783,2.2654535,2.1783861,1.0829117,0.9057305,1.1945062,3.2916794,0.9414708,1.405897,2.009482,0.752671,0.5217762,1.4571499
genus_Butyricicoccus,0.0633821,0.3576505,0.0780756,0.0487915,0.1195242999999999,0.0557119,0.0424755,0.0212638,0.0407664,0.0256388,0.0733743,0.0169559,0.2335132,0.2117013,0.2100889999999999,0.1018613,0.1327372,0.0402156,0.0315446,0.1159036,0.0111884,0.0517722,0.2731267,0.6736782,1.7819136999999998,0.1740458,0.1496586,0.0554876,0.0777346,0.0812183,0.430631,0.1221063,0.0124022999999999,0.0482012,0.0669181,0.0337781,0.0131588,0.0324823,0.0385604,0.0609137,0.1970166,0.0266792999999999,0.4909705,1.6459924,0.2880512,1.102882,1.3487861,0.1408561,0.1977586999999999,0.3419638,0.2657562,0.1481432,0.1797878,0.2119876,0.0549904,0.0534759,0.0749644999999999,0.3776993,2.932861,0.2009798,0.6744382999999999,0.5254128,0.1181771,0.0608127,0.3014098,0.1798115,0.0634518,0.1690345,0.3075946,0.1173881,0.7165687,0.5117522,0.1615998,0.0996457,0.1156604,0.0774776,0.00922,0.122524,0.1447527,0.00895,0.0647278,0.1213429,0.1088872999999999,0.1371742,0.5555013999999999,0.2222221999999999,0.00139,0.1141031,0.0940814,0.1244055999999999,0.0627815,0.047749,0.0521957,0.2804262,0.2987025,0.1023058,0.00783,0.102551,0.2452054,0.017845,0.2292780999999999,0.0766491,0.1179485,0.0558295,0.00287,0.1182759999999999,0.031141,0.0538109,0.1490271,0.0732807,0.0480634,0.0604704999999999,0.0482092,0.1408575,0.187856,0.1599296,0.3101416,0.1467415,0.0127134,0.0250847,0.00538,0.0697791,0.1509354,0.2835927,0.2715347,0.0806052,0.9205172,0.0789118,0.2588877,0.0841832,0.4321496999999999,0.1350019,0.0904735,0.2275716,0.2475096,0.1573095,0.3513302,0.1896603,0.0994406,0.0232959,0.0731752,0.2651792,0.125246,0.0255961,0.0475562999999999,0.0338524,0.060957,0.0131674,0.0195263,0.0,0.1258265,0.2182941,0.2006668
genus_Butyricimonas,0.3084594,0.2246778999999999,0.1115366,0.0750638,0.2629534,0.1172883,0.1614068,0.2232697,0.1386058,0.0811896,0.0917178999999999,0.1639066,0.7515366,0.2646266,0.1959256999999999,0.0740809,0.00931,0.0965173,0.1016437999999999,0.226288,0.1422521,0.0557547,0.2909393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00509,0.0,0.0,0.0243339,0.0506671,0.0131588,0.0194894,0.0,0.0609137,0.0337743,0.1245035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109478,0.0022,0.0628061999999999,0.0267989,0.0214454,0.103405,0.1368286,0.2041808,0.093006,0.0253807,0.0523202,0.0555655,0.0843727,0.0257758999999999,0.0860467999999999,0.2221998,0.2269708,0.3315598999999999,0.2661187,0.3388971,0.3165203,0.3015682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627567,0.0342114,0.058056,0.0436741,0.0136426,0.1357088,0.80923,1.1574722000000002,1.3614543,3.5842855,3.2175362,1.5412907999999998,0.2514519,0.4793997,0.2600057,0.2236954,0.0651345,0.2125765,0.3311728,0.0560537999999999,0.0387438,0.0,0.0,0.1602115,0.1632702,0.0783399999999999,0.2288934,0.2969336999999999,0.1439367,0.3359868,0.0,0.0018199999999999,0.0,0.0,0.8254996000000001,0.0,0.0522408,0.0395190999999999,0.0403026,0.1121231,0.0225462,0.0600989,0.0986146,0.127939,0.1307162,0.127333,0.1416001,0.2261199,0.5234608,0.1688371,0.2117874,0.1118707,0.1444346,0.1646442,0.0388624999999999,0.1341921999999999,0.1260115,0.036748,0.0338524,0.0731484,0.0329186,0.0669475,0.0434953,0.2196244,0.2715365999999999,0.1852308999999999
genus_Clostridium.IV,1.7113158,0.076421,0.0148715,0.1125956999999999,2.9761549,1.2080693999999998,0.00425,0.00354,0.0856094999999999,0.8717204,5.1912318,5.8271633000000005,11.3374668,4.2003464,7.2775771,9.7972034,1.8257184,1.1863589,0.1051488,0.3283936,0.4411412,0.5933891,2.0959506,0.1165435,0.0350949,0.0183206,0.0,0.0130559,0.0111049,0.00508,0.1310616,0.172984,0.00827,0.0,0.00608,0.00844,0.0131588,0.0065,0.0192802,0.0,0.0,0.0059299999999999,0.00486,0.8190204,0.0924609,0.0241507,0.019982,0.0,0.00942,0.2952359,0.062748,0.1111074,0.0025299999999999,0.0359011,0.00687,0.00535,0.00517,6.1362454,0.0242022,0.6029393,0.1652597,0.0107227,0.0,0.5234238,0.1020904,0.0062,0.3172589,1.1329336,0.9962096,0.0293469999999999,0.0463965,0.081518,0.1413999,0.0498228999999999,0.0308428,0.0437917,0.0899115,0.0204207,0.2171291,0.1402901,0.00301,0.0134825,0.0829617,0.6198241999999999,0.1559302,0.1333333,0.00139,0.0,0.0256586,0.0082899999999999,0.00819,0.0,0.0556754,0.088134,0.0,0.0236089999999999,0.0508686999999999,0.0640943,0.0875732999999999,0.00162,1.3548253,0.09769,0.1301501,0.595515,6.0957743,5.5826276,1.4075735,1.7284057,4.9685075,0.0,0.6288301,0.2237407,1.5667999,0.4665904,6.0174524,6.4251729,0.9536855,0.1855848,0.2306575,0.1254233,0.2906507,0.0236986,0.2281581999999999,0.1455277999999999,0.0101985,0.1581101,0.2020985,0.00752,0.00925,0.3728112,0.0199016,0.00536,0.050263,0.0606857,0.1252826,4.4372118,3.5617187,1.4319356,0.7582349,1.4117318,0.4329532,0.0205743,1.5924137,1.0080923,0.0929509,1.0155721,0.2560195,1.4945026,0.0278948,0.2174764,0.2699549,0.1064849,0.8520622
genus_Clostridium.XI,0.1183132,0.1528421,1.3310035,0.6380423,0.0119524,0.1730002,0.2930807,0.0496155,0.1386058,0.3333048,0.1650922,0.1017351,0.4106610999999999,0.4234026,0.7482945000000001,0.3055838999999999,0.1909552,0.253358,0.0385546,0.0855479,0.4315511999999999,0.3783353,0.1246883,1.3530415,0.2852873,0.0335878,0.0187073,0.0359037,0.0555247,0.0101523,0.0936154,0.7580768,0.074414,0.0241006,0.182504,0.1773349,0.2565958,0.0065,0.0192802,0.0406091,0.0337743,0.0,0.0364582,6.2102417,0.0960171,0.2093060999999999,1.228894,0.046952,0.2919296,0.9175676,0.2473009,1.2423824,0.1063533,0.0649639,0.0274952,0.00802,0.00258,7.064072,25.4122617,0.1758573,2.0501139000000004,1.7049109999999998,0.4653224,0.00434,0.2868255,1.6617063,0.0761420999999999,0.6861995,0.0972396,0.0733675999999999,6.8718425,0.5434536,0.3433997,0.2712578,0.0154214,0.0067399999999999,0.0,0.0,0.0,0.1970032,1.0160766,1.0111905,0.4355491,1.7019763,0.5555013999999999,0.1333333,0.2280501999999999,0.0855774,0.0855286,0.00553,0.0,0.00682,0.2366205,0.4647064,2.3242789,0.1888723,0.0899984,0.2627868,0.0766266999999999,0.017845,0.0555826,0.0015,0.3945174,0.4931609,0.0,0.2483795999999999,0.217987,0.8093157,0.2361938999999999,0.0394589,0.0120159,0.0181411,0.0421831,0.0088,0.0121197,0.0239893999999999,0.0103381,5.1899007,0.7555394,2.1280154,2.314441,0.0,0.3124013,0.0,0.00255,0.0062,0.0096899999999999,0.0,0.0,0.0,0.00284,0.0,0.00335,0.0,0.0611134999999999,0.0216979,0.1005573999999999,0.00158,0.0124301,0.0302847,0.0182938,0.0,0.00895,0.1555455,0.2161648,0.4013928,0.615666,0.9546382,0.0502106,0.4393023,0.0251653,0.1757001,0.0926155
