,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0,0.08,0.37,0.44,0.61,0.24,0.22,0.37,0.12,0.44,0.29,0.53,0.36,0.28,0.43,0.14,0.17,0.3,0.35,0.03,0.53,0.07,0.29,0.5,0.48,0.36,0.0,0.34,0.24,0.1,0.44,0.38,0.16,0.38,0.32,0.2,0.44,0.46,0.45,0.26
1,0.08,1.0,0.08,0.18,0.32,0.0,0.12,0.35,0.02,0.13,0.09,0.04,0.01,0.01,0.36,0.19,0.42,0.29,0.14,0.05,0.06,0.33,0.04,0.0,0.26,0.44,0.01,0.01,0.42,0.02,0.0,0.07,0.0,0.0,0.27,0.15,0.45,0.39,0.11,0.0
2,0.37,0.08,1.0,0.05,0.04,0.0,0.36,0.05,0.03,0.1,0.24,0.03,0.05,0.09,0.0,0.13,0.45,0.01,0.16,0.21,0.23,0.01,0.15,0.19,0.0,0.0,0.0,0.0,0.07,0.0,0.16,0.39,0.0,0.0,0.51,0.37,0.36,0.0,0.26,0.0
3,0.44,0.18,0.05,1.0,0.13,0.21,0.41,0.22,0.3,0.3,0.5,0.37,0.2,0.3,0.46,0.38,0.36,0.25,0.42,0.4,0.17,0.39,0.4,0.31,0.25,0.07,0.37,0.05,0.08,0.48,0.29,0.2,0.0,0.0,0.35,0.26,0.22,0.55,0.45,0.13
4,0.61,0.32,0.04,0.13,1.0,0.35,0.17,0.36,0.28,0.48,0.39,0.45,0.5,0.41,0.17,0.21,0.44,0.43,0.31,0.55,0.23,0.23,0.47,0.49,0.41,0.2,0.4,0.11,0.33,0.14,0.36,0.31,0.19,0.17,0.21,0.38,0.5,0.16,0.39,0.28
5,0.24,0.0,0.0,0.21,0.35,1.0,0.34,0.37,0.03,0.21,0.21,0.05,0.21,0.31,0.0,0.49,0.01,0.42,0.03,0.04,0.04,0.0,0.45,0.01,0.08,0.37,0.16,0.0,0.16,0.0,0.13,0.24,0.08,0.14,0.29,0.03,0.55,0.0,0.43,0.29
6,0.22,0.12,0.36,0.41,0.17,0.34,1.0,0.41,0.47,0.51,0.3,0.5,0.42,0.36,0.5,0.11,0.31,0.35,0.51,0.39,0.28,0.18,0.38,0.14,0.36,0.2,0.45,0.03,0.41,0.48,0.22,0.54,0.25,0.34,0.38,0.29,0.42,0.37,0.24,0.12
7,0.37,0.35,0.05,0.22,0.36,0.37,0.41,1.0,0.25,0.31,0.33,0.33,0.42,0.19,0.23,0.48,0.38,0.25,0.28,0.28,0.33,0.5,0.47,0.42,0.37,0.41,0.31,0.5,0.45,0.29,0.03,0.33,0.25,0.39,0.47,0.29,0.19,0.13,0.3,0.21
8,0.12,0.02,0.03,0.3,0.28,0.03,0.47,0.25,1.0,0.46,0.3,0.2,0.53,0.22,0.13,0.45,0.09,0.34,0.32,0.01,0.35,0.35,0.31,0.03,0.04,0.31,0.34,0.03,0.32,0.07,0.37,0.39,0.03,0.08,0.36,0.27,0.19,0.31,0.35,0.04
9,0.44,0.13,0.1,0.3,0.48,0.21,0.51,0.31,0.46,1.0,0.46,0.28,0.55,0.35,0.12,0.25,0.35,0.33,0.31,0.08,0.39,0.32,0.09,0.42,0.41,0.37,0.39,0.35,0.37,0.34,0.36,0.24,0.16,0.43,0.08,0.52,0.37,0.27,0.06,0.07
10,0.29,0.09,0.24,0.5,0.39,0.21,0.3,0.33,0.3,0.46,1.0,0.19,0.42,0.29,0.3,0.32,0.43,0.26,0.28,0.4,0.19,0.23,0.45,0.2,0.39,0.15,0.19,0.32,0.04,0.28,0.42,0.45,0.33,0.39,0.37,0.45,0.33,0.47,0.17,0.08
11,0.53,0.04,0.03,0.37,0.45,0.05,0.5,0.33,0.2,0.28,0.19,1.0,0.05,0.41,0.33,0.08,0.47,0.27,0.36,0.0,0.0,0.37,0.18,0.27,0.02,0.31,0.14,0.12,0.5,0.07,0.28,0.31,0.0,0.03,0.43,0.52,0.26,0.4,0.18,0.02
12,0.36,0.01,0.05,0.2,0.5,0.21,0.42,0.42,0.53,0.55,0.42,0.05,1.0,0.3,0.4,0.06,0.39,0.28,0.54,0.13,0.48,0.39,0.44,0.18,0.1,0.53,0.1,0.12,0.14,0.46,0.49,0.23,0.21,0.04,0.31,0.41,0.07,0.16,0.4,0.28
