,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,1.0,0.34,0.15,0.02,0.16,0.03,0.54,0.08,0.05,0.41,0.39,0.27,0.42,0.36,0.36,0.38,0.3,0.17,0.38,0.15,0.51,0.22,0.53,0.25,0.3,0.12,0.27,0.17,0.14,0.53,0.05,0.39,0.05,0.18,0.42,0.06,0.5,0.49,0.03,0.47,0.18,0.28,0.11
1,0.34,1.0,0.05,0.21,0.28,0.03,0.04,0.33,0.26,0.4,0.25,0.18,0.27,0.4,0.46,0.25,0.4,0.29,0.06,0.33,0.3,0.14,0.1,0.34,0.31,0.36,0.23,0.46,0.2,0.33,0.16,0.23,0.48,0.35,0.21,0.16,0.41,0.52,0.17,0.55,0.29,0.13,0.11
2,0.15,0.05,1.0,0.01,0.0,0.0,0.43,0.44,0.28,0.25,0.46,0.53,0.39,0.46,0.35,0.3,0.31,0.15,0.24,0.17,0.3,0.06,0.33,0.47,0.53,0.27,0.55,0.22,0.23,0.04,0.17,0.37,0.27,0.23,0.46,0.55,0.04,0.31,0.63,0.13,0.14,0.37,0.01
3,0.02,0.21,0.01,1.0,0.12,0.55,0.33,0.31,0.34,0.58,0.36,0.16,0.22,0.25,0.16,0.25,0.1,0.23,0.13,0.2,0.34,0.46,0.01,0.38,0.04,0.49,0.14,0.27,0.52,0.01,0.49,0.03,0.26,0.48,0.31,0.44,0.26,0.41,0.14,0.47,0.18,0.21,0.01
4,0.16,0.28,0.0,0.12,1.0,0.05,0.01,0.34,0.0,0.41,0.25,0.0,0.05,0.3,0.04,0.1,0.1,0.36,0.43,0.41,0.25,0.41,0.06,0.04,0.35,0.11,0.0,0.45,0.31,0.0,0.0,0.22,0.02,0.07,0.02,0.0,0.01,0.29,0.43,0.48,0.54,0.12,0.0
5,0.03,0.03,0.0,0.55,0.05,1.0,0.05,0.02,0.0,0.17,0.02,0.06,0.21,0.07,0.32,0.29,0.19,0.0,0.41,0.34,0.0,0.21,0.21,0.04,0.01,0.33,0.0,0.0,0.0,0.02,0.0,0.33,0.0,0.5,0.44,0.0,0.0,0.4,0.13,0.41,0.0,0.19,0.0
6,0.54,0.04,0.43,0.33,0.01,0.05,1.0,0.42,0.19,0.16,0.39,0.33,0.22,0.39,0.15,0.13,0.38,0.29,0.29,0.4,0.44,0.37,0.45,0.27,0.06,0.14,0.18,0.39,0.41,0.25,0.39,0.03,0.1,0.46,0.05,0.02,0.0,0.31,0.44,0.16,0.46,0.4,0.0
7,0.08,0.33,0.44,0.31,0.34,0.02,0.42,1.0,0.08,0.19,0.52,0.5,0.25,0.24,0.15,0.11,0.38,0.39,0.31,0.33,0.4,0.39,0.17,0.14,0.07,0.37,0.23,0.06,0.51,0.32,0.1,0.43,0.38,0.25,0.37,0.09,0.11,0.49,0.1,0.28,0.07,0.46,0.13
8,0.05,0.26,0.28,0.34,0.0,0.0,0.19,0.08,1.0,0.5,0.04,0.0,0.3,0.05,0.06,0.13,0.47,0.0,0.46,0.0,0.24,0.5,0.02,0.13,0.0,0.1,0.03,0.14,0.26,0.13,0.03,0.06,0.0,0.25,0.2,0.5,0.4,0.21,0.0,0.51,0.0,0.25,0.41
9,0.41,0.4,0.25,0.58,0.41,0.17,0.16,0.19,0.5,1.0,0.24,0.4,0.52,0.51,0.38,0.31,0.35,0.44,0.4,0.45,0.54,0.42,0.48,0.38,0.38,0.24,0.53,0.52,0.2,0.25,0.4,0.39,0.43,0.33,0.28,0.16,0.33,0.22,0.37,0.37,0.27,0.36,0.08
