,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,1.0,0.12,0.12,0.4,0.07,0.42,0.14,0.19,0.22,0.28,0.38,0.4,0.5,0.17,0.23,0.23,0.39,0.44,0.45,0.0,0.56,0.0,0.52,0.39,0.32,0.09,0.51,0.24,0.05,0.11,0.25,0.21,0.35,0.12,0.23,0.47,0.16,0.01,0.12,0.0
1,0.12,1.0,0.18,0.0,0.45,0.02,0.23,0.2,0.42,0.27,0.04,0.09,0.14,0.23,0.25,0.0,0.16,0.27,0.39,0.15,0.48,0.0,0.0,0.0,0.15,0.15,0.46,0.2,0.0,0.0,0.08,0.24,0.0,0.0,0.38,0.01,0.32,0.0,0.14,0.0
2,0.12,0.18,1.0,0.0,0.08,0.09,0.29,0.06,0.15,0.11,0.2,0.0,0.01,0.13,0.12,0.26,0.03,0.12,0.41,0.0,0.18,0.12,0.02,0.0,0.0,0.36,0.33,0.0,0.0,0.21,0.26,0.12,0.0,0.0,0.28,0.46,0.09,0.08,0.45,0.0
3,0.4,0.0,0.0,1.0,0.5,0.23,0.42,0.47,0.29,0.47,0.22,0.09,0.47,0.48,0.12,0.04,0.43,0.45,0.3,0.36,0.45,0.08,0.17,0.14,0.11,0.27,0.13,0.01,0.42,0.39,0.42,0.44,0.02,0.06,0.2,0.52,0.44,0.14,0.44,0.04
4,0.07,0.45,0.08,0.5,1.0,0.43,0.4,0.48,0.4,0.53,0.48,0.53,0.23,0.44,0.46,0.22,0.41,0.54,0.32,0.19,0.54,0.08,0.34,0.55,0.31,0.14,0.38,0.42,0.3,0.45,0.51,0.51,0.25,0.43,0.47,0.51,0.28,0.07,0.27,0.32
5,0.42,0.02,0.09,0.23,0.43,1.0,0.37,0.2,0.03,0.46,0.46,0.01,0.44,0.4,0.28,0.44,0.05,0.33,0.33,0.01,0.36,0.01,0.08,0.08,0.3,0.29,0.05,0.23,0.18,0.13,0.44,0.26,0.32,0.04,0.11,0.33,0.1,0.25,0.11,0.25
6,0.14,0.23,0.29,0.42,0.4,0.37,1.0,0.35,0.24,0.37,0.37,0.25,0.32,0.54,0.29,0.31,0.39,0.48,0.25,0.27,0.42,0.16,0.35,0.15,0.39,0.24,0.29,0.17,0.24,0.41,0.46,0.27,0.14,0.45,0.33,0.42,0.29,0.39,0.56,0.06
7,0.19,0.2,0.06,0.47,0.48,0.2,0.35,1.0,0.36,0.34,0.32,0.21,0.25,0.24,0.39,0.44,0.14,0.18,0.28,0.23,0.35,0.11,0.28,0.21,0.13,0.45,0.54,0.07,0.29,0.54,0.28,0.15,0.07,0.31,0.48,0.04,0.12,0.31,0.37,0.28
8,0.22,0.42,0.15,0.29,0.4,0.03,0.24,0.36,1.0,0.2,0.23,0.48,0.37,0.27,0.42,0.17,0.36,0.28,0.2,0.01,0.3,0.08,0.34,0.42,0.21,0.04,0.1,0.07,0.08,0.29,0.12,0.27,0.02,0.25,0.34,0.41,0.21,0.01,0.15,0.14
9,0.28,0.27,0.11,0.47,0.53,0.46,0.37,0.34,0.2,1.0,0.36,0.19,0.32,0.08,0.12,0.29,0.28,0.26,0.34,0.55,0.45,0.24,0.14,0.27,0.15,0.12,0.4,0.38,0.36,0.35,0.48,0.34,0.28,0.28,0.28,0.36,0.35,0.22,0.29,0.09
10,0.38,0.04,0.2,0.22,0.48,0.46,0.37,0.32,0.23,0.36,1.0,0.37,0.5,0.37,0.35,0.44,0.32,0.38,0.36,0.34,0.37,0.25,0.1,0.1,0.39,0.42,0.28,0.18,0.31,0.05,0.42,0.54,0.4,0.4,0.41,0.42,0.36,0.39,0.48,0.39
11,0.4,0.09,0.0,0.09,0.53,0.01,0.25,0.21,0.48,0.19,0.37,1.0,0.04,0.21,0.55,0.09,0.32,0.22,0.43,0.0,0.33,0.05,0.47,0.26,0.04,0.05,0.49,0.09,0.38,0.37,0.42,0.07,0.0,0.0,0.48,0.34,0.09,0.11,0.41,0.02
12,0.5,0.14,0.01,0.47,0.23,0.44,0.32,0.25,0.37,0.32,0.5,0.04,1.0,0.25,0.29,0.45,0.34,0.46,0.43,0.11,0.54,0.26,0.15,0.25,0.44,0.24,0.41,0.34,0.39,0.32,0.28,0.17,0.1,0.12,0.5,0.19,0.16,0.44,0.48,0.31
13,0.17,0.23,0.13,0.48,0.44,0.4,0.54,0.24,0.27,0.08,0.37,0.21,0.25,1.0,0.29,0.44,0.38,0.24,0.6,0.48,0.46,0.46,0.34,0.12,0.09,0.27,0.38,0.16,0.2,0.22,0.46,0.45,0.17,0.25,0.33,0.26,0.31,0.35,0.28,0.23
14,0.23,0.25,0.12,0.12,0.46,0.28,0.29,0.39,0.42,0.12,0.35,0.55,0.29,0.29,1.0,0.13,0.42,0.23,0.19,0.22,0.46,0.15,0.33,0.33,0.01,0.5,0.06,0.16,0.41,0.42,0.53,0.35,0.12,0.31,0.23,0.26,0.07,0.12,0.31,0.27
15,0.23,0.0,0.26,0.04,0.22,0.44,0.31,0.44,0.17,0.29,0.44,0.09,0.45,0.44,0.13,1.0,0.4,0.42,0.31,0.09,0.17,0.05,0.17,0.33,0.28,0.45,0.3,0.31,0.12,0.11,0.43,0.48,0.32,0.38,0.22,0.51,0.21,0.0,0.2,0.49
16,0.39,0.16,0.03,0.43,0.41,0.05,0.39,0.14,0.36,0.28,0.32,0.32,0.34,0.38,0.42,0.4,1.0,0.35,0.41,0.4,0.41,0.1,0.29,0.0,0.4,0.44,0.06,0.12,0.27,0.34,0.49,0.28,0.1,0.11,0.28,0.35,0.3,0.42,0.14,0.09
17,0.44,0.27,0.12,0.45,0.54,0.33,0.48,0.18,0.28,0.26,0.38,0.22,0.46,0.24,0.23,0.42,0.35,1.0,0.4,0.19,0.28,0.39,0.51,0.38,0.54,0.37,0.31,0.35,0.31,0.12,0.46,0.36,0.22,0.33,0.16,0.44,0.12,0.12,0.39,0.58
18,0.45,0.39,0.41,0.3,0.32,0.33,0.25,0.28,0.2,0.34,0.36,0.43,0.43,0.6,0.19,0.31,0.41,0.4,1.0,0.24,0.49,0.4,0.29,0.15,0.32,0.1,0.56,0.24,0.33,0.19,0.31,0.51,0.12,0.47,0.29,0.4,0.13,0.31,0.36,0.35
19,0.0,0.15,0.0,0.36,0.19,0.01,0.27,0.23,0.01,0.55,0.34,0.0,0.11,0.48,0.22,0.09,0.4,0.19,0.24,1.0,0.18,0.0,0.19,0.02,0.0,0.34,0.04,0.13,0.01,0.03,0.16,0.27,0.0,0.13,0.02,0.09,0.55,0.0,0.0,0.05
20,0.56,0.48,0.18,0.45,0.54,0.36,0.42,0.35,0.3,0.45,0.37,0.33,0.54,0.46,0.46,0.17,0.41,0.28,0.49,0.18,1.0,0.21,0.31,0.45,0.14,0.29,0.16,0.33,0.4,0.12,0.25,0.49,0.25,0.39,0.13,0.43,0.29,0.07,0.18,0.51
21,0.0,0.0,0.12,0.08,0.08,0.01,0.16,0.11,0.08,0.24,0.25,0.05,0.26,0.46,0.15,0.05,0.1,0.39,0.4,0.0,0.21,1.0,0.02,0.07,0.0,0.04,0.28,0.03,0.02,0.35,0.32,0.22,0.0,0.32,0.18,0.39,0.38,0.0,0.22,0.46
22,0.52,0.0,0.02,0.17,0.34,0.08,0.35,0.28,0.34,0.14,0.1,0.47,0.15,0.34,0.33,0.17,0.29,0.51,0.29,0.19,0.31,0.02,1.0,0.41,0.0,0.26,0.26,0.5,0.24,0.31,0.23,0.38,0.1,0.02,0.43,0.39,0.31,0.37,0.19,0.29
23,0.39,0.0,0.0,0.14,0.55,0.08,0.15,0.21,0.42,0.27,0.1,0.26,0.25,0.12,0.33,0.33,0.0,0.38,0.15,0.02,0.45,0.07,0.41,1.0,0.34,0.28,0.31,0.47,0.0,0.08,0.29,0.12,0.0,0.0,0.44,0.04,0.41,0.34,0.43,0.0
24,0.32,0.15,0.0,0.11,0.31,0.3,0.39,0.13,0.21,0.15,0.39,0.04,0.44,0.09,0.01,0.28,0.4,0.54,0.32,0.0,0.14,0.0,0.0,0.34,1.0,0.42,0.28,0.01,0.03,0.44,0.43,0.33,0.26,0.53,0.46,0.05,0.16,0.51,0.34,0.19
25,0.09,0.15,0.36,0.27,0.14,0.29,0.24,0.45,0.04,0.12,0.42,0.05,0.24,0.27,0.5,0.45,0.44,0.37,0.1,0.34,0.29,0.04,0.26,0.28,0.42,1.0,0.5,0.02,0.1,0.32,0.2,0.29,0.0,0.29,0.26,0.36,0.23,0.12,0.25,0.02
26,0.51,0.46,0.33,0.13,0.38,0.05,0.29,0.54,0.1,0.4,0.28,0.49,0.41,0.38,0.06,0.3,0.06,0.31,0.56,0.04,0.16,0.28,0.26,0.31,0.28,0.5,1.0,0.0,0.36,0.52,0.12,0.25,0.3,0.0,0.2,0.13,0.12,0.03,0.33,0.33
27,0.24,0.2,0.0,0.01,0.42,0.23,0.17,0.07,0.07,0.38,0.18,0.09,0.34,0.16,0.16,0.31,0.12,0.35,0.24,0.13,0.33,0.03,0.5,0.47,0.01,0.02,0.0,1.0,0.21,0.27,0.13,0.21,0.03,0.0,0.36,0.51,0.4,0.0,0.21,0.01
28,0.05,0.0,0.0,0.42,0.3,0.18,0.24,0.29,0.08,0.36,0.31,0.38,0.39,0.2,0.41,0.12,0.27,0.31,0.33,0.01,0.4,0.02,0.24,0.0,0.03,0.1,0.36,0.21,1.0,0.22,0.37,0.06,0.29,0.52,0.51,0.4,0.03,0.0,0.05,0.0
29,0.11,0.0,0.21,0.39,0.45,0.13,0.41,0.54,0.29,0.35,0.05,0.37,0.32,0.22,0.42,0.11,0.34,0.12,0.19,0.03,0.12,0.35,0.31,0.08,0.44,0.32,0.52,0.27,0.22,1.0,0.51,0.13,0.14,0.24,0.4,0.52,0.28,0.44,0.26,0.04
30,0.25,0.08,0.26,0.42,0.51,0.44,0.46,0.28,0.12,0.48,0.42,0.42,0.28,0.46,0.53,0.43,0.49,0.46,0.31,0.16,0.25,0.32,0.23,0.29,0.43,0.2,0.12,0.13,0.37,0.51,1.0,0.33,0.33,0.3,0.26,0.53,0.27,0.09,0.28,0.38
31,0.21,0.24,0.12,0.44,0.51,0.26,0.27,0.15,0.27,0.34,0.54,0.07,0.17,0.45,0.35,0.48,0.28,0.36,0.51,0.27,0.49,0.22,0.38,0.12,0.33,0.29,0.25,0.21,0.06,0.13,0.33,1.0,0.14,0.14,0.34,0.26,0.35,0.33,0.33,0.06
32,0.35,0.0,0.0,0.02,0.25,0.32,0.14,0.07,0.02,0.28,0.4,0.0,0.1,0.17,0.12,0.32,0.1,0.22,0.12,0.0,0.25,0.0,0.1,0.0,0.26,0.0,0.3,0.03,0.29,0.14,0.33,0.14,1.0,0.0,0.42,0.38,0.0,0.0,0.02,0.0
33,0.12,0.0,0.0,0.06,0.43,0.04,0.45,0.31,0.25,0.28,0.4,0.0,0.12,0.25,0.31,0.38,0.11,0.33,0.47,0.13,0.39,0.32,0.02,0.0,0.53,0.29,0.0,0.0,0.52,0.24,0.3,0.14,0.0,1.0,0.41,0.04,0.04,0.0,0.4,0.0
34,0.23,0.38,0.28,0.2,0.47,0.11,0.33,0.48,0.34,0.28,0.41,0.48,0.5,0.33,0.23,0.22,0.28,0.16,0.29,0.02,0.13,0.18,0.43,0.44,0.46,0.26,0.2,0.36,0.51,0.4,0.26,0.34,0.42,0.41,1.0,0.18,0.46,0.16,0.42,0.45
35,0.47,0.01,0.46,0.52,0.51,0.33,0.42,0.04,0.41,0.36,0.42,0.34,0.19,0.26,0.26,0.51,0.35,0.44,0.4,0.09,0.43,0.39,0.39,0.04,0.05,0.36,0.13,0.51,0.4,0.52,0.53,0.26,0.38,0.04,0.18,1.0,0.37,0.03,0.37,0.33
36,0.16,0.32,0.09,0.44,0.28,0.1,0.29,0.12,0.21,0.35,0.36,0.09,0.16,0.31,0.07,0.21,0.3,0.12,0.13,0.55,0.29,0.38,0.31,0.41,0.16,0.23,0.12,0.4,0.03,0.28,0.27,0.35,0.0,0.04,0.46,0.37,1.0,0.14,0.45,0.01
37,0.01,0.0,0.08,0.14,0.07,0.25,0.39,0.31,0.01,0.22,0.39,0.11,0.44,0.35,0.12,0.0,0.42,0.12,0.31,0.0,0.07,0.0,0.37,0.34,0.51,0.12,0.03,0.0,0.0,0.44,0.09,0.33,0.0,0.0,0.16,0.03,0.14,1.0,0.44,0.04
38,0.12,0.14,0.45,0.44,0.27,0.11,0.56,0.37,0.15,0.29,0.48,0.41,0.48,0.28,0.31,0.2,0.14,0.39,0.36,0.0,0.18,0.22,0.19,0.43,0.34,0.25,0.33,0.21,0.05,0.26,0.28,0.33,0.02,0.4,0.42,0.37,0.45,0.44,1.0,0.1
