,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,1.0,0.29,0.35,0.3,0.11,0.02,0.22,0.36,0.39,0.21,0.31,0.09,0.3,0.13,0.23,0.31,0.43,0.45,0.41,0.45,0.14,0.08,0.29,0.28,0.18,0.26,0.5,0.38,0.21,0.44,0.2,0.31,0.3,0.38,0.36,0.4,0.2,0.26,0.35,0.36,0.11,0.54,0.42
1,0.29,1.0,0.12,0.5,0.25,0.15,0.04,0.46,0.22,0.23,0.47,0.23,0.29,0.43,0.41,0.18,0.03,0.38,0.41,0.19,0.23,0.45,0.31,0.34,0.23,0.22,0.01,0.07,0.09,0.27,0.0,0.05,0.41,0.52,0.49,0.37,0.52,0.13,0.02,0.24,0.08,0.04,0.47
2,0.35,0.12,1.0,0.11,0.26,0.04,0.0,0.12,0.32,0.34,0.29,0.23,0.27,0.36,0.28,0.19,0.08,0.25,0.02,0.22,0.49,0.19,0.22,0.48,0.43,0.48,0.52,0.08,0.0,0.2,0.0,0.31,0.35,0.23,0.34,0.02,0.16,0.42,0.36,0.07,0.0,0.28,0.0
3,0.3,0.5,0.11,1.0,0.02,0.2,0.41,0.26,0.42,0.32,0.23,0.17,0.3,0.08,0.23,0.33,0.38,0.34,0.4,0.46,0.45,0.3,0.0,0.35,0.03,0.27,0.49,0.31,0.21,0.44,0.21,0.03,0.03,0.15,0.33,0.37,0.1,0.36,0.32,0.23,0.01,0.16,0.0
4,0.11,0.25,0.26,0.02,1.0,0.36,0.0,0.32,0.0,0.0,0.32,0.24,0.08,0.15,0.05,0.44,0.3,0.36,0.0,0.01,0.25,0.34,0.48,0.26,0.0,0.02,0.0,0.09,0.05,0.14,0.21,0.0,0.05,0.35,0.3,0.0,0.0,0.31,0.06,0.24,0.03,0.13,0.0
5,0.02,0.15,0.04,0.2,0.36,1.0,0.0,0.28,0.37,0.1,0.15,0.15,0.23,0.48,0.0,0.03,0.25,0.09,0.33,0.19,0.09,0.42,0.01,0.06,0.05,0.03,0.0,0.0,0.11,0.21,0.0,0.0,0.23,0.38,0.16,0.0,0.0,0.34,0.29,0.05,0.15,0.22,0.0
6,0.22,0.04,0.0,0.41,0.0,0.0,1.0,0.43,0.15,0.27,0.4,0.31,0.28,0.32,0.34,0.26,0.44,0.34,0.46,0.48,0.41,0.54,0.35,0.05,0.09,0.12,0.26,0.18,0.15,0.19,0.02,0.38,0.27,0.44,0.49,0.05,0.0,0.38,0.19,0.39,0.14,0.25,0.0
7,0.36,0.46,0.12,0.26,0.32,0.28,0.43,1.0,0.36,0.42,0.49,0.5,0.42,0.42,0.19,0.26,0.44,0.55,0.34,0.27,0.43,0.46,0.27,0.52,0.22,0.45,0.39,0.19,0.53,0.41,0.21,0.38,0.3,0.2,0.4,0.33,0.39,0.43,0.24,0.64,0.17,0.34,0.37
8,0.39,0.22,0.32,0.42,0.0,0.37,0.15,0.36,1.0,0.4,0.5,0.15,0.28,0.23,0.04,0.36,0.34,0.45,0.19,0.0,0.25,0.38,0.0,0.26,0.23,0.05,0.02,0.3,0.28,0.05,0.13,0.26,0.32,0.36,0.28,0.33,0.18,0.22,0.13,0.47,0.34,0.14,0.15
9,0.21,0.23,0.34,0.32,0.0,0.1,0.27,0.42,0.4,1.0,0.47,0.27,0.32,0.33,0.23,0.47,0.42,0.23,0.43,0.2,0.04,0.34,0.19,0.51,0.28,0.35,0.05,0.2,0.39,0.33,0.08,0.09,0.09,0.33,0.44,0.04,0.33,0.4,0.38,0.26,0.33,0.46,0.28
