,feature,mean clr,std clr
0,Burkholderia,-10.956957194784144,1.945653080676971
1,Duncaniella,-8.045052794784146,1.83503693626496
2,Acetatifactor,-7.087256594784142,1.8462056742894362
3,Herbinix,-6.70432499478414,1.9403134149295922
4,Enterococcus,-5.318657794784141,1.8696102527872713
5,Millionella,-5.012057374784144,2.113785371442766
6,Paramuribaculum,-4.902171572784144,2.1707989733346618
7,Senegalimassilia,-4.717878654784142,2.256141090251686
8,Lachnospiraceae_UCG-008,-4.657631834784141,2.0104816689395304
9,Novosphingobium,-4.562220284784141,1.9796010812961908
10,Adlercreutzia,-4.530241129484144,2.033378595933939
11,Kineothrix,-4.508746494784145,0.9100962229557982
12,Marvinbryantia,-4.406674434784143,2.107261665214324
13,Agathobaculum,-4.339567298784142,2.440852112033487
14,Ercella,-4.319634354784141,2.1770259442908944
15,Catenisphaera,-4.247877064784142,2.3427057993853424
16,Ruthenibacterium,-4.10987906478414,2.4797986451096867
17,Prevotellamassilia,-4.10345584478414,2.2046442551074468
18,Atlantibacter,-4.097204084784143,2.131546799004368
19,Ligilactobacillus,-4.019599794784142,0.9776559325753864
20,Clostridium_XlVb,-3.650297124784142,2.5466851389580563
21,Caproiciproducens,-3.5975223867841413,2.43780973846633
22,Muribaculum,-3.3815229947841408,0.9182220635715228
23,Streptomyces,-3.2132548527841407,2.3686924546423063
24,Pseudobutyrivibrio,-2.8692108247841412,2.865948783858676
25,Hydrogeniiclostridium,-2.708025114784142,3.1549112207939274
26,Falcatimonas,-2.657328031784142,3.442643505330183
27,Merdimonas,-2.551134949284141,3.0210351097574946
28,Lachnospiraceae_FCS020_group,-2.515030567884142,2.7181625292916674
29,Holdemania,-2.431553696784141,2.942825406924009
30,Atopobium,-2.328531731784141,2.725539051890014
31,Succinivibrio,-2.2928033947841424,0.5762662204995387
32,Family_XIII_UCG-001,-2.276442894784141,2.9583851170375075
33,Muricomes,-2.2526509147841414,3.8444828754692124
34,Faecalicatena,-2.2428540947841427,2.9748713807081333
35,Oxalobacter,-2.206492834784142,2.9630204490808096
36,Eisenbergiella,-2.1857204237841414,0.9003441438698435
37,Rothia,-2.136659697784141,3.3235234668206055
38,Anaerocolumna,-2.1326616447841413,3.783961812574583
