,genus_A,genus_B,precision
0,01D2Z36,Prevotellaceae_Ga6A1_group,0.0016792508885189
1,Actinobacillus,Aeromonas,-0.0117047494173354
2,Actinobacillus,Bacteroides_pectinophilus_group,0.0008829656648591
3,Actinobacillus,Duncaniella,-0.0250514858291325
4,Aeromonas,Agathobaculum,0.0018750819864437
5,Aeromonas,Alkalibacterium,0.0005748389136589
6,Aeromonas,Bacteroides_pectinophilus_group,0.002248941185245
7,Aeromonas,Bilophila,0.0016186380055985
8,Aeromonas,Blfdi19,0.0018664710645103
9,Aeromonas,Breznakia,-0.0054514472236824
10,Aeromonas,Catenisphaera,0.0003055696871594
11,Aeromonas,Colwellia,0.000134715798248
12,Aeromonas,Corallococcus,0.0005769085668167
13,Aeromonas,Dickeya,0.0015473376697013
14,Aeromonas,Draconibacterium,0.0005752516763314
15,Aeromonas,Duncaniella,0.0014855909632184
16,Aeromonas,Erysipelotrichaceae_UCG-006,0.0002009589954348
17,Aeromonas,Ethanoligenens,0.0014151255893466
18,Aeromonas,Eubacterium_eligens_group,0.000366395849555
19,Aeromonas,Faecalibaculum,0.0022367074187211
20,Aeromonas,Kocuria,-0.0405701186153278
21,Aeromonas,Lachnospiracea_incertae_sedis,0.0007182372190603
22,Aeromonas,Lactococcus,2.68723193939239e-05
23,Aeromonas,Megasphaera,0.0004021827694818
24,Aeromonas,Microbulbifer,-0.0863595244339802
25,Aeromonas,Phocea,0.0019929699887789
26,Aeromonas,Poseidonibacter,0.001335899699202
27,Aeromonas,Prevotellaceae_Ga6A1_group,0.0020601275020631
28,Aeromonas,Roseateles,8.74789028518062e-05
29,Aeromonas,Roseivirga,0.0017005387271762
30,Aeromonas,Ruminococcus_gauvreauii_group,0.0006379378900386
31,Aeromonas,Ruminococcus_torques_group,0.0002809015149698
32,Aeromonas,Ruminococcus2,0.0010379762401804
33,Aeromonas,Stenotrophobacter,-0.0001226401142634
34,Aeromonas,Subgroup_10,0.0021892426149746
35,Aeromonas,UCG-003,0.0006008173506752
36,Aeromonas,study_site,0.0042371106628263
37,Agathobaculum,Bacteroides_pectinophilus_group,0.0012219759208008
38,Agathobaculum,Bilophila,0.0003825721484894
39,Agathobaculum,Blfdi19,-0.0007823427148299
