,genus_A,genus_B,rho,p
0,region,study_site,0.2066350790987421,0.0
1,region,Acetatifactor,0.0307532345804393,0.02
2,region,Acidaminococcus,-0.028667401434198,0.02
3,region,Adlercreutzia,0.0257080237190099,0.05
4,region,Akkermansia,-0.028689946964542,0.02
5,region,Alistipes,-0.0276366246084159,0.0
6,region,Alloprevotella,-0.0248214725357493,0.03
7,region,Anaerococcus,-0.0415473058802018,0.0
8,region,Anaerosporobacter,-0.0318345766324352,0.0
9,region,Anaerostipes,0.0560715566325578,0.0
10,region,Anaerotignum,0.027247352077653,0.04
11,region,Bacteroides,0.0249739143292537,0.04
12,region,Barnesiella,-0.0294878120681828,0.03
13,region,Bifidobacterium,0.1029961478291729,0.0
14,region,Bilophila,0.0310053790426622,0.0
15,region,Blautia,0.1156268489758163,0.0
16,region,Burkholderia,0.0700951878912709,0.0
17,region,Butyricicoccus,0.0367755136755304,0.01
18,region,Butyricimonas,0.03363670297186,0.02
19,region,Butyrivibrio,-0.0490122295646063,0.0
20,region,Campylobacter,-0.0455204648141598,0.01
21,region,Catenibacterium,-0.0486449979005423,0.0
22,region,Cellulosilyticum,0.0312623483685887,0.03
23,region,Christensenellaceae_R-7_group,-0.0551627437252063,0.0
24,region,Clostridia_vadinBB60_group,-0.0252197900808194,0.01
25,region,Clostridium_sensu_stricto,0.0296171275473224,0.05
26,region,Cronobacter,-0.0517262873112649,0.0
27,region,Cutibacterium,-0.0243221895174806,0.04
28,region,Dialister,-0.08094209106885,0.0
29,region,Dorea,0.0507639922457672,0.0
30,region,Escherichia-Shigella,0.0626547576209709,0.0
31,region,Eubacterium_coprostanoligenes_group,-0.0289087938004266,0.04
32,region,Ezakiella,-0.0361597704733511,0.0
33,region,Faecalibacterium,0.0420607094626425,0.0
34,region,Fenollaria,-0.0671724712499074,0.0
35,region,Finegoldia,-0.0368013361629601,0.0
36,region,Fusicatenibacter,0.0679895956707783,0.0
37,region,Gastranaerophilales,-0.0387088265001161,0.01
38,region,Gemmiger,0.0293132657610461,0.01
39,region,Holdemanella,-0.0460051390824731,0.0
40,region,Incertae_Sedis,0.0651447557989186,0.0
41,region,Kosakonia,0.0306537900960386,0.03
42,region,Lachnobacterium,0.0189812335229519,0.04
43,region,Lachnoclostridium,0.0303260289341793,0.01
44,region,Lachnospira,0.129519616358813,0.0
45,region,Lachnospiraceae_NK4A136_group,-0.0204267722769745,0.05
46,region,Lachnospiraceae_UCG-008,-0.0411368998037247,0.0
47,region,Lachnospiraceae_UCG-010,0.0224048131591893,0.05
48,region,Lachnotalea,-0.028399012900601,0.05
49,region,Megamonas,0.1027327097590467,0.0
50,region,Metaprevotella,-0.0248451592178005,0.04
51,region,Mitsuokella,-0.0273719392693932,0.02
52,region,Nakamurella,-0.0238209260757878,0.02
53,region,Oxobacter,-0.0290799675527797,0.03
54,region,Parasutterella,0.0480909145583057,0.0
55,region,Peptoniphilus,-0.0495607898901356,0.0
56,region,Peptostreptococcus,-0.021694753991048,0.02
57,region,Phascolarctobacterium,0.0727199338610564,0.0
58,region,Porphyromonas,-0.0521630173799125,0.0
59,region,Prevotella,-0.1184244615498482,0.0
60,region,Pseudescherichia,0.0413836108032013,0.0
61,region,Rikenellaceae_RC9_gut_group,-0.0332740207558435,0.01
62,region,Romboutsia,0.0430452339890343,0.01
63,region,Roseburia,0.0949459303802336,0.0
64,region,Ruminococcus,-0.0310629123247123,0.0
65,region,Senegalimassilia,-0.0230413274316843,0.03
66,region,Streptobacillus,-0.0311902857917986,0.01
67,region,Succinivibrio,-0.0504180615082992,0.0
68,region,Sutterella,-0.0258764288877001,0.03
69,region,UCG-002,-0.0616492107120097,0.0
70,region,UCG-003,0.0252394225209485,0.04
71,region,UCG-004,-0.028284084069731,0.03
