,genus_A,genus_B,rho,p
0,region,study_site,0.2551824513803344,0.0
1,region,Aeromicrobium,0.0368899494526891,0.01
2,region,Alistipes,-0.089022508998752,0.0
3,region,Anaerococcus,-0.0963284334264684,0.0
4,region,Anaerosporobacter,-0.0317717045237413,0.0
5,region,Anaerostipes,0.0774146370170857,0.0
6,region,Bacteroides,-0.04935451290625,0.0
7,region,Barnesiella,-0.1013787447342882,0.0
8,region,Bifidobacterium,0.1277136535313329,0.0
9,region,Bilophila,0.0379680429279902,0.0
10,region,Blautia,0.1101577916668779,0.0
11,region,Butyricicoccus,0.0731687469823322,0.0
12,region,CAG-352,0.0204332084856342,0.02
13,region,CAG-56,0.0351217054302165,0.0
14,region,Campylobacter,-0.0744415768517892,0.0
15,region,Catenibacterium,-0.0260628393359842,0.03
16,region,Christensenellaceae_R-7_group,-0.0428836468265263,0.0
17,region,Clostridium_XlVa,-0.0278456226832427,0.02
18,region,Coprobacter,-0.0297825421747834,0.03
19,region,Corynebacterium,-0.0174769079007285,0.05
20,region,Cronobacter,-0.0781556569981091,0.0
21,region,Delftia,0.0297036690392856,0.0
22,region,Desemzia,-0.0275467758984955,0.02
23,region,Dialister,-0.119990497895124,0.0
24,region,Dorea,0.0707904709715507,0.0
25,region,Duganella,0.0254759221731159,0.02
26,region,Enterococcus,-0.0286318629402087,0.01
27,region,Enterorhabdus,-0.0253621149000982,0.04
28,region,Erysipelotrichaceae_UCG-003,0.0357663905176127,0.0
29,region,Escherichia-Shigella,0.113871702985532,0.0
30,region,Eubacterium,-0.0430970820519238,0.0
31,region,Eubacterium_coprostanoligenes_group,0.0213715876483804,0.02
32,region,Eubacterium_eligens_group,0.0335365318543233,0.01
33,region,Eubacterium_hallii_group,0.0614542284692359,0.0
34,region,Eubacterium_ruminantium_group,0.026375794956526,0.04
35,region,Ezakiella,-0.0348909803553707,0.0
36,region,Faecalibacterium,0.1155326940356204,0.0
37,region,Fenollaria,-0.0967310589854612,0.0
38,region,Finegoldia,-0.0906844517202166,0.0
39,region,Fusicatenibacter,0.057707701297001,0.0
40,region,Gardnerella,-0.0311751446427691,0.04
41,region,Helicobacter,0.0251472475447397,0.04
42,region,Incertae_Sedis,0.0397698265987576,0.0
43,region,Intestinimonas,-0.0453536300560018,0.0
44,region,Lachnoclostridium,0.0703906998030731,0.0
45,region,Lachnospira,0.1335825351731336,0.0
